r_bohr,rho_e_bohr3__H_qm1_mult1_ning2022,rho_e_bohr3__Li_qm1_mult1_ning2022,rho_e_bohr3__Be_qm1_mult2_formal,rho_e_bohr3__B_qm2_mult4_formal,rho_e_bohr3__B_qm1_mult3_ning2022,rho_e_bohr3__C_qm3_mult2_formal,rho_e_bohr3__C_qm2_mult3_formal,rho_e_bohr3__C_qm1_mult4_ning2022,rho_e_bohr3__N_qm3_mult1_formal,rho_e_bohr3__N_qm2_mult2_formal,rho_e_bohr3__N_qm1_mult3_formal,rho_e_bohr3__O_qm2_mult1_formal,rho_e_bohr3__O_qm1_mult2_ning2022,rho_e_bohr3__F_qm1_mult1_ning2022,rho_e_bohr3__Na_qm1_mult1_ning2022,rho_e_bohr3__Mg_qm1_mult2_formal,rho_e_bohr3__Al_qm2_mult4_formal,rho_e_bohr3__Al_qm1_mult3_ning2022,rho_e_bohr3__Si_qm2_mult3_formal,rho_e_bohr3__Si_qm1_mult4_ning2022,rho_e_bohr3__P_qm3_mult1_formal,rho_e_bohr3__P_qm2_mult2_formal,rho_e_bohr3__P_qm1_mult3_ning2022,rho_e_bohr3__S_qm2_mult1_formal,rho_e_bohr3__S_qm1_mult2_ning2022,rho_e_bohr3__Cl_qm1_mult1_ning2022,rho_e_bohr3__K_qm1_mult1_ning2022,rho_e_bohr3__Ca_qm1_mult2_ning2022,rho_e_bohr3__Sc_qm1_mult1_ning2022,rho_e_bohr3__Ti_qm1_mult4_ning2022,rho_e_bohr3__V_qm1_mult5_ning2022,rho_e_bohr3__Cr_qm1_mult6_ning2022,rho_e_bohr3__Mn_qm1_mult5_formal,rho_e_bohr3__Fe_qm1_mult4_ning2022,rho_e_bohr3__Co_qm1_mult3_ning2022,rho_e_bohr3__Ni_qm1_mult2_ning2022,rho_e_bohr3__Cu_qm1_mult1_ning2022,rho_e_bohr3__Zn_qm1_mult2_formal,rho_e_bohr3__Ga_qm2_mult4_formal,rho_e_bohr3__Ga_qm1_mult3_ning2022,rho_e_bohr3__Ge_qm2_mult3_formal,rho_e_bohr3__Ge_qm1_mult4_ning2022,rho_e_bohr3__As_qm3_mult1_formal,rho_e_bohr3__As_qm2_mult2_formal,rho_e_bohr3__As_qm1_mult3_ning2022,rho_e_bohr3__Se_qm2_mult1_formal,rho_e_bohr3__Se_qm1_mult2_ning2022,rho_e_bohr3__Br_qm1_mult1_ning2022,rho_e_bohr3__Rb_qm1_mult1_ning2022,rho_e_bohr3__Sr_qm1_mult2_ning2022,rho_e_bohr3__Y_qm1_mult1_ning2022,rho_e_bohr3__Zr_qm1_mult4_ning2022,rho_e_bohr3__Nb_qm1_mult5_ning2022,rho_e_bohr3__Mo_qm1_mult6_ning2022,rho_e_bohr3__Tc_qm1_mult5_formal,rho_e_bohr3__Ru_qm1_mult4_ning2022,rho_e_bohr3__Rh_qm1_mult3_ning2022,rho_e_bohr3__Pd_qm1_mult2_ning2022,rho_e_bohr3__Ag_qm1_mult1_ning2022,rho_e_bohr3__Cd_qm1_mult2_formal,rho_e_bohr3__In_qm2_mult4_formal,rho_e_bohr3__In_qm1_mult3_ning2022,rho_e_bohr3__Sn_qm2_mult3_formal,rho_e_bohr3__Sn_qm1_mult4_ning2022,rho_e_bohr3__Sb_qm3_mult1_formal,rho_e_bohr3__Sb_qm2_mult2_formal,rho_e_bohr3__Sb_qm1_mult3_ning2022,rho_e_bohr3__Te_qm2_mult1_formal,rho_e_bohr3__Te_qm1_mult2_ning2022,rho_e_bohr3__I_qm1_mult1_ning2022,rho_e_bohr3__Cs_qm1_mult1_ning2022,rho_e_bohr3__Ba_qm1_mult2_ning2022,rho_e_bohr3__Hf_qm1_mult4_ning2022,rho_e_bohr3__Ta_qm1_mult5_ning2022,rho_e_bohr3__W_qm1_mult6_ning2022,rho_e_bohr3__Re_qm1_mult5_ning2022,rho_e_bohr3__Os_qm1_mult4_ning2022,rho_e_bohr3__Ir_qm1_mult3_ning2022,rho_e_bohr3__Pt_qm1_mult2_ning2022,rho_e_bohr3__Au_qm1_mult1_ning2022,rho_e_bohr3__Hg_qm1_mult2_formal,rho_e_bohr3__Tl_qm2_mult4_formal,rho_e_bohr3__Tl_qm1_mult3_ning2022,rho_e_bohr3__Pb_qm2_mult3_formal,rho_e_bohr3__Pb_qm1_mult4_ning2022,rho_e_bohr3__Bi_qm3_mult1_formal,rho_e_bohr3__Bi_qm2_mult2_formal,rho_e_bohr3__Bi_qm1_mult3_ning2022,rho_e_bohr3__Po_qm2_mult1_formal,rho_e_bohr3__Po_qm1_mult2_formal,rho_e_bohr3__At_qm1_mult1_ning2022
1.0000000000000004e-06,0.32726227416818521,14.3595997395058,37.389610874801519,77.120900972405309,77.052599116550624,139.43067933484332,139.37616007020816,139.30978299259226,231.0324835034798,230.906747213556,230.8288011314404,357.60170404694179,357.62188312107139,527.69402676029267,1071.9457054747959,1457.1777050877804,1932.7226039257721,1932.567783563311,2515.9495162621024,2515.8312842430132,3223.6263182039693,3223.5222975026818,3223.3509034761664,4073.7029141911362,4073.8802014833464,5081.8237932375432,7842.2083011999766,9475.0620013663156,11407.521763213277,13660.871463401792,16267.60245598992,19191.862353640183,22590.223239862571,26476.808776121215,30876.52430921507,35981.533270541258,41474.20068010276,47919.977227435586,54777.82513073954,54777.020186069698,62948.059515193134,62947.556868651955,72041.724280032446,72041.43705013828,72040.708356018586,82224.287969689496,82224.978684141955,93842.44708543978,120826.19944194773,136548.68096682776,154306.36399184819,174013.00140326499,195638.07143026748,219592.52192569699,246837.34377212694,275836.66425633873,309211.02837166179,345501.34735220793,386443.12726731366,429692.34503999073,479509.51385551289,479506.8155996495,532989.79285608744,532988.2671208817,594261.67919306876,594260.81110665645,594258.90035050875,657350.89146566438,657353.67380360281,733483.08528292179,903236.87415567623,997670.86072549492,4903202.2388153002,5410621.5555193033,5960440.4983872976,6563851.7578951009,7214979.1440102207,7959934.5275116647,8774542.848893065,9669856.4124244787,10625734.286313361,11699234.818910733,11699212.220321391,12879874.570584591,12879861.947526108,14210748.336536128,14210740.693898864,14210719.810592055,15696360.120777301,15696374.687780697,17322350.316102345
1.0150494464681606e-06,0.32726227416682019,14.359599737058371,37.389610854113307,77.12090090547926,77.05259904968338,139.43067910397752,139.37615983943266,139.30978276192616,231.03248283199338,230.90674654242457,230.82880046053731,357.6017023672253,357.62188144125804,527.69402291842096,1071.9456520526612,1457.177592061932,1932.7224037557785,1932.5675834093313,2515.9491849425194,2515.8309529389853,3223.6257998542087,3223.5217791696127,3223.3503851706287,4073.7021319895148,4073.8794192477371,5081.8226825224956,7842.2050323838521,9475.0581433074149,11407.516830886088,13660.865019863988,16267.594120749249,19191.852345772473,22590.210825479673,26476.793357290317,30876.505538787169,35981.509576178898,41474.173773683571,47919.944591897191,54777.789215276091,54776.984271134148,62948.016063725969,62947.513417531896,72041.672868716982,72041.385639027911,72040.656945428695,82224.227563185355,82224.918277129618,93842.374679439294,120826.10232162401,136548.57016555264,154306.23577068892,174012.85383436931,195637.9042502495,219592.33302728849,246837.1256389489,275836.42190712964,309210.74996413803,345501.03295697912,386442.76764821453,429691.9487271508,479509.0626709481,479506.36441762629,532989.29065217101,532987.76491840521,594261.10557125509,594260.23748568306,594258.32673138194,657350.26719420613,657353.04952949588,733482.36289898306,903235.96481560962,997669.86383914505,4903196.4103843831,5410615.0325570321,5960433.2515098481,6563843.7167840637,7214970.2887189984,7959924.6200708346,8774531.8034013417,9669844.1126353331,10625720.750762355,11699219.803479258,11699197.204918995,12879857.921347776,12879845.298305668,14210729.722740941,14210722.080113724,14210701.196834343,15696339.232248802,15696353.799232781,17322326.963226236
1.0303253787753168e-06,0.32726227416541354,14.359599734536721,37.389610832797743,77.120900836523589,77.052598980788588,139.43067886611055,139.37615960165857,139.30978252426496,231.03248214014388,230.90674585094078,230.82879976928859,357.60170063657085,357.62187971050366,527.69401896004445,1071.9455970105164,1457.1774756086425,1932.7221975158018,1932.5673771858533,2515.9488435760268,2515.830611588518,3223.6252657861578,3223.5212451187531,3223.3498511481348,4073.7013260687854,4073.8786132919863,5081.8215381267892,7842.2016644507485,9475.0541682634903,11407.511748999779,13660.858380944552,16267.585532767507,19191.842034445373,22590.198034667184,26476.777470929548,30876.486199202329,35981.485163359364,41474.146051406788,47919.910966783951,54777.752210775448,54776.947267177326,62947.97129471528,62947.468648878843,72041.619898498087,72041.33266902031,72040.603975957318,82224.165325023321,82224.856038443817,93842.30007793408,120826.00225639844,136548.45600453322,154306.10366157437,174012.70179084883,195637.73200094362,219592.13840102984,246836.90089145495,275836.17220929661,309210.4631146157,345500.70902850595,386442.39712457202,429691.54039708921,479508.59780530841,479505.89955460641,532988.77322011755,532987.24748783559,594260.51455573365,594259.6464710267,594257.73571862886,657349.62399314961,657352.40632571257,733481.61861044844,903235.02790190745,997668.83672445978,4903190.4052186105,5410608.3117997535,5960425.7848861478,6563835.4318432268,7214961.1649094764,7959914.412207514,8774520.4229781404,9669831.4398807548,10625706.804773705,11699204.332735732,11699181.734205438,12879840.767257039,12879828.144231766,14210710.544520762,14210702.901903907,14210682.018652774,15696317.710319031,15696332.277283002,17322302.90222282
1.0458312054079828e-06,0.32726227416396414,14.359599731938612,37.389610810835741,77.120900765476918,77.052598909804402,139.43067862103013,139.37615935667412,139.3097822793967,231.03248142731383,230.90674513848751,230.82879905707767,357.60169885343362,357.62187792726434,527.69401488162873,1071.945540299238,1457.1773556239846,1932.7219850217807,1932.5671647088323,2515.9484918579765,2515.8302598869795,3223.624715523199,3223.5206948735158,3223.3493009321182,4073.7004957097433,4073.8777828968596,5081.8203590291887,7842.1981943955652,9475.0500726876926,11407.506513019875,13660.851540719763,16267.576684381944,19191.831410458337,22590.184856012176,26476.761102864079,30876.466273204525,35981.460010300303,41474.117488536838,47919.876322093442,54777.714084219078,54776.909141181372,62947.925168214701,62947.422522746696,72041.565322111506,72041.278092851397,72040.549400340969,82224.101199669283,82224.791912550456,93842.223214358877,120825.8991569848,136548.33838190575,154305.96754662556,174012.54513703694,195637.55452865356,219591.93787325686,246836.66932910425,275835.91494003381,309210.16756713815,345500.37527774606,386442.01536576753,429691.11968544731,479508.11884378956,479505.42059578624,532988.24009821331,532986.71436745895,594259.9056191321,594259.03753531631,594257.12678487983,657348.96128855238,657351.74361830577,733480.85175317258,903234.06257853913,997667.7784649129,4903184.2179593313,5410601.3872502558,5960418.0918534053,6563826.8956796005,7214951.7644400718,7959903.8948128112,8774508.6974682137,9669818.3828522973,10625692.435902793,11699188.392874893,11699165.794375461,12879823.093004934,12879810.469997037,14210690.784761973,14210683.142155802,14210662.258933794,15696295.535783008,15696310.102726359,17322278.111621432
1.0615703861485017e-06,0.32726227416247078,14.359599729261713,37.389610788207804,77.120900692275612,77.052598836667642,139.4306783685175,139.37615910426047,139.30978202710267,231.03248069286693,230.90674440442902,230.82879832326881,357.60169701622215,357.62187608994725,527.69401067953345,1071.94548186821,1457.1772320008718,1932.7217660840761,1932.5669457886429,2515.9481294744869,2515.829897520503,3223.6241485742803,3223.5201279428484,3223.3487340315664,4073.6996401713814,4073.8769273213193,5081.819144177487,7842.1946191221523,9475.045852925643,11407.501118274444,13660.844493086353,16267.56756769759,19191.820464332061,22590.171277755908,26476.744238489387,30876.445743014738,35981.434094559067,41474.088059588175,47919.840626913698,54777.674801587607,54776.869859127255,62947.877643066779,62947.374997978455,72041.509090860316,72041.221861824481,72040.493169883324,82224.03512990629,82224.725842231594,93842.144020130916,120825.7929313904,136548.21719271789,154305.82730439038,174012.38373315526,195637.3716750232,219591.73126504084,246836.43074527607,275835.64986978122,309209.86305799003,345500.03140689305,386441.62203115603,429690.68621682248,479507.62535901181,479504.92711378844,532987.69081074814,532986.16508156853,594259.27821809065,594258.41013519268,594256.4993867767,657348.27848907304,657351.06081592967,733480.06164288078,903233.06798413023,997666.68811619771,4903177.8430854306,5410594.2527295388,5960410.1655468633,6563818.1006760541,7214942.0789223965,7959893.0585016469,8774496.616408458,9669804.9298986793,10625677.631327705,11699171.969672982,11699149.371205352,12879804.882820036,12879792.259830041,14210670.425832173,14210662.783237007,14210641.90004497,15696272.68885354,15696287.255775645,17322252.569300462
1.0775464328470257e-06,0.32726227416093212,14.359599726503628,37.389610764893632,77.120900616854527,77.052598761312993,139.43067810834737,139.37615884419205,139.30978176715766,231.03247993614764,230.90674364810985,230.82879756720683,357.60169512329685,357.62187419691304,527.69400635000966,1071.9454216652834,1457.1771046289778,1932.7215405072998,1932.5667202299112,2515.9477561021622,2515.8295241657006,3223.6235644334456,3223.5195438208234,3223.3481499405652,4073.698758690226,4073.8760458018637,5081.8178924875756,7842.1909354404834,9475.0415052121825,11407.495559949934,13660.837231756039,16267.558174580116,19191.809186299772,22590.157287783193,26476.72686275834,30876.424590315015,35981.407393012807,41474.057738302916,47919.80384939607,54777.634327830427,54776.829385964927,62947.828676866746,62947.326032169571,72041.451154571405,72041.163925766712,72040.435234412114,82223.967056782596,82224.657768535064,93842.062424588774,120825.68348483405,136548.09232883685,154305.68280973466,174012.21743518737,195637.18327689692,219591.51839202922,246836.18492708719,275835.37676202023,309209.54931546125,345499.67710911517,386441.2167697706,429690.23960443021,479507.1169106387,479504.41866828053,532987.12486759119,532985.59914003464,594258.6317927785,594257.76371082687,594255.85296449275,657347.57498543872,657350.35730931326,733479.24757455254,903232.04323119705,997665.56470538047,4903171.2749084495,5410586.9018712556,5960401.9988936577,6563809.0389845511,7214932.0997137558,7959881.8936044518,8774484.1690185592,9669791.0690154284,10625662.377837846,11699155.048475038,11699132.450040177,12879786.120452814,12879773.497481242,14210649.449564423,14210641.806980571,14210620.923819453,15696249.149143593,15696263.716043819,17322226.252467703
1.0937629102051138e-06,0.32726227415934694,14.359599723661917,37.389610740872428,77.120900539146177,77.052598683673097,139.43067784028759,139.37615857623706,139.30978149932974,231.03247915648075,230.90674286885505,230.82879678821718,357.601693172968,357.62187224647198,527.69400188919133,1071.9453596367266,1457.1769733946262,1932.7213080901333,1932.5664878313382,2515.9473714077858,2515.8291394893854,3223.6229625794108,3223.5189419861631,3223.3475481378746,4073.6978504796643,4073.875137551835,5081.8166028424894,7842.1871400638593,9475.0370256680108,11407.489833086918,13660.829750249917,16267.548496648686,19191.797566298781,22590.142873611599,26476.708960167689,30876.402796232156,35981.379881837885,41474.02649762723,47919.765956726187,54777.592626834608,54776.787685581956,62947.778225924303,62947.275581630151,72041.39146155116,72041.104232984537,72040.375542234251,82223.896919559629,82224.587630722119,93841.978354928695,120825.57071966142,136547.96367885114,154305.53393373211,174012.04609475227,195636.98916617327,219591.29906428151,246835.93165520072,275835.09537306166,309209.22605960671,345499.31206827844,386440.799220004,429689.7794497654,479506.59304498788,479503.89480558172,532986.54176375468,532985.01603787031,594257.96576639498,594257.09768541809,594255.18694122764,657346.85014991486,657349.63247071533,733478.40882179514,903230.98740534869,997664.40723003144,4903164.5075674439,5410579.3281161115,5960393.584606518,6563799.7025191467,7214921.8179094717,7959870.390158534,8774471.344191432,9669776.7878341451,10625646.661822118,11699137.61418183,11699115.015780728,12879766.789161071,12879754.166208504,14210627.837241044,14210620.194668878,14210599.31153959,15696224.895648118,15696239.462525792,17322199.137640078
1.1102234365711046e-06,0.32726227415771381,14.359599720734019,37.389610716122746,77.120900459081327,77.052598603678831,139.43067756409866,139.37615830015642,139.30978122337999,231.03247835317023,230.9067420659691,230.82879598560436,357.60169116349493,357.62187023688352,527.69399729309805,1071.9452957271817,1457.176838180696,1932.7210686251601,1932.566248385524,2515.9469750480603,2515.8287431482677,3223.6223424750824,3223.5183219018027,3223.3469280864474,4073.6969147292261,4073.8742017607365,5081.8152740914002,7842.1832296059638,9475.0324102962713,11407.483932575604,13660.822041892749,16267.538525268392,19191.785593961289,22590.128022380377,26476.690514744292,30876.380341320939,35981.35153648851,41473.994309687303,47919.7269150953,54777.549661392368,54776.744720771181,62947.726245224905,62947.223601345962,72041.329958538845,72041.042730217465,72040.314040089841,82223.824655657925,82224.515366212479,93841.891736140635,120825.4545352587,136547.83112797324,154305.38054354762,174011.86955897091,195636.78916965573,219591.07308609923,246835.6707036325,275834.80545183097,309208.8930019947,345498.93595866743,386440.36900928849,429689.30534223927,479506.05329462397,479503.35505825852,532985.94097894372,532984.41525478102,594257.27954465454,594256.41146468162,594254.50072270166,657346.10333573306,657348.88565336703,733477.54463620041,903229.89956448018,997663.21465733694,4903157.5350238513,5410571.5247059362,5960384.9151772521,6563790.0829487778,7214911.2243349133,7959858.5378991747,8774458.1304833163,9669762.0736115351,10625630.46925687,11699119.651236419,11699097.052870097,12879746.871695129,12879734.248762146,14210605.569576975,14210597.927016821,14210577.043920361,15696199.906725314,15696214.473579755,17322171.20062254
1.1269316847474762e-06,0.32726227415603087,14.359599717717339,37.38961069062259,77.120900376588509,77.052598521258687,139.43067727953439,139.37615801570337,139.30978093906191,231.03247752549885,230.90674123873552,230.82879515865199,357.60168909308396,357.62186816635358,527.69399255762687,1071.9452298796093,1457.1766988665115,1932.7208218986759,1932.566001678777,2515.9465666692627,2515.8283347886413,3223.6217035670866,3223.5176830143764,3223.3462892329517,4073.6959506038766,4073.8732375934924,5081.8139050485734,7842.1792005778198,9475.0276549789342,11407.477853151317,13660.814099806916,16267.528251542677,19191.773258605332,22590.112720838915,26476.671510030843,30876.357205546748,35981.322331674877,41473.961145764399,47919.686689669936,54777.505393168227,54776.700453197722,62947.672688389619,62947.170044938546,72041.266590659216,72040.979362590617,72040.250673104514,82223.750200600974,82224.440910529214,93841.802490940609,120825.33482796178,136547.69455793558,154305.22250232031,174011.68767033049,195636.58310889726,219590.84025585285,246835.40183954695,275834.5067396423,309208.54984545126,345498.54844469263,386439.92575376097,429688.81685881782,479505.49717794132,479502.79894470912,532985.32197708997,532983.79625470215,594256.57251525612,594255.70443631813,594253.79369661596,657345.3338765204,657348.11619089148,733476.65424666868,903228.77873792569,997661.98592317395,4903150.3510560151,5410563.4846777096,5960375.9828700908,6563780.1716898475,7214900.3095373344,7959846.3262505215,8774444.5161034707,9669746.9132179469,10625613.785693306,11699101.143610254,11699078.545279775,12879726.350282408,12879713.727369586,14210582.626702506,14210574.984154753,14210554.101092085,15696174.160077317,15696188.726907831,17322142.416486651
1.1438913828103569e-06,0.32726227415429721,14.359599714609171,37.389610664349092,77.120900291594069,77.052598436339139,139.43067698634061,139.37615772262413,139.30978064612162,231.03247667272819,230.90674038641578,230.82879430662206,357.60168695988716,357.62186603303405,527.69398767855114,1071.9451620352406,1457.1765553277451,1932.7205676904928,1932.5657474909303,2515.9461459069603,2515.8279140460863,3223.6210452852688,3223.5170247537535,3223.3456310072897,4073.69495724326,4073.8722441897098,5081.8124944923584,7842.1750493847285,9475.0227554731719,11407.471589389852,13660.805916906367,16267.517666305237,19191.760549225102,22590.096955335022,26476.651929071224,30876.333368267777,35981.292241340809,41473.926976269388,47919.645244560728,54777.459782664897,54776.654843364726,62947.617507633782,62947.114864623552,72041.201301373992,72040.914073565902,72040.185384740529,82223.673487958251,82224.364197241113,93841.710539702573,120825.21149096478,136547.55384688653,154305.05966904058,174011.50026654379,195636.37080004247,219590.60036580072,246835.12482305194,275834.19896996906,309208.19628379343,345498.14918059169,386439.46905792528,429688.31356364605,479504.92419873789,479502.22596873413,532984.68420587713,532983.15848531737,594255.84404734173,594254.97596946952,594253.06523211324,657344.54108570609,657347.32339671603,733475.73685873067,903227.6239255988,997660.71993116173,4903142.9492537025,5410555.2008573273,5960366.7797147352,6563769.9598985305,7214889.0637774374,7959833.7443160936,8774430.4889037739,9669731.2931257542,10625596.596244596,11699082.074788924,11699059.476495368,12879705.206611563,12879692.583719488,14210558.988145649,14210551.345610671,14210530.462582834,15696147.632730346,15696162.199536182,17322112.759548318
