comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,relative_l1_delta,430,0.0002214909965956932,0.0010731770887109412,0.009768837398216355,0.018528732369422273,0.09436860676317692,0.16307763125910318
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,l1_delta_electrons_trapz,430,0.0004429984666749444,0.04428090472930847,0.437730315988556,0.6211812975282596,1.2302957053237322,1.6593378369677527
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,max_abs_cumulative_delta_electrons,430,8.37833653084541e-05,0.0077690434173902645,0.19780175371965572,0.29682799713438424,0.597400173984268,0.8106133555466002
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,mean_abs_radial_shift_angstrom,430,1.1650344005744543e-05,0.00014359379641051647,0.013143156807041173,0.02146397554412144,0.08373060920733519,0.15107807817258687
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,delta_mean_r_angstrom,430,5.508409978679974e-09,2.7634638326926883e-05,0.013070185153175182,0.020892552116017322,0.08356740109313048,0.15090855240393417
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,delta_rms_r_angstrom,430,5.22728169451678e-07,9.174533811897508e-05,0.05755750864308948,0.10520809441007553,0.1618568916498292,0.3212570706188774
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,max_abs_quantile_radius_delta_angstrom,430,0.0005107458447536435,0.030224447786835015,0.8252834181835031,1.7193869394546555,2.7361618047448575,3.003297551547698
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,max_abs_cutoff_radius_delta_angstrom,430,0.00016774279170721364,0.007918078240598219,0.16550480708812304,0.3643830353399742,0.6765698239461053,1.0401294278479176
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,delta_tail_electrons_gt_10_bohr,430,4.1524526137217696e-17,5.906522836783576e-06,0.027541622454266463,0.14211547997483126,0.29712000036152936,0.369736555137976
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,delta_tail_electrons_gt_15_bohr,430,5.270177454522926e-33,9.885019729880803e-09,0.00020577215945189907,0.006299991966846297,0.0725825990816419,0.10608649587042165
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,all,all,delta_tail_electrons_gt_20_bohr,430,1.9456764053438224e-55,8.03113343706103e-12,3.594843405238891e-07,3.2376503292030715e-05,0.0033261379082607646,0.010372615090932695
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,relative_l1_delta,80,0.00040562545858006564,0.00626612278663789,0.016235265507028616,0.025843744191503402,0.10476630354228164,0.11645624396482837
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,l1_delta_electrons_trapz,80,0.03488508668592186,0.14983535272488618,0.6178267509842174,0.7936513962213062,0.9023828535946516,1.0168508125810354
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,max_abs_cumulative_delta_electrons,80,0.0041669154774837125,0.061541246657720095,0.2777714737496289,0.34550063515553153,0.40476975354188915,0.46804399597441204
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,mean_abs_radial_shift_angstrom,80,0.00010292884196993118,0.005388885221840627,0.021196649070303858,0.027399418654651984,0.1002780821441065,0.15107807817258687
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,delta_mean_r_angstrom,80,9.114733920120892e-07,0.005331991855204766,0.020768521455961322,0.026706567847159496,0.10023471576539474,0.15090855240393417
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,delta_rms_r_angstrom,80,5.18209516534861e-05,0.0213137622067084,0.11360850950499811,0.12955953585841248,0.2070044769694483,0.3212570706188774
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,max_abs_quantile_radius_delta_angstrom,80,0.03574977697526871,0.6822315848623335,2.5842027578566853,2.771289816236693,2.939985051868059,3.003297551547698
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,max_abs_cutoff_radius_delta_angstrom,80,0.008986261279009438,0.10286881312845525,0.2717920138228021,0.4639277313239508,0.8380717730179295,1.0401294278479176
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge,-1,delta_tail_electrons_gt_10_bohr,80,4.6472428026456143e-10,0.014068967823874165,0.26780355036098286,0.3060138180328104,0.35824543262245123,0.369736555137976
