comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,relative_l1_delta,106,3.853215862245048e-11,0.0005199152075998704,0.002839077857205712,0.005684987565516021,0.011851623531052853,0.013830680576538476
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,l1_delta_electrons_trapz,106,7.706718308997494e-11,0.024505496815208777,0.04518133246188677,0.059831118881525897,0.11729549553287048,0.12448075417023415
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,max_abs_cumulative_delta_electrons,106,3.852629326672741e-11,0.004885809333572411,0.009884192299359995,0.013139762368356234,0.02802649073405615,0.03257785643728983
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,mean_abs_radial_shift_angstrom,106,2.83505369196342e-11,5.051474800740746e-05,0.0008885067657794618,0.0015938890972574317,0.0045618286067851364,0.005213362900850002
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,delta_mean_r_angstrom,106,2.831725767622015e-11,3.997454535904554e-06,0.0005586138392558895,0.0010905610919838117,0.0037860724663648375,0.004048622842264084
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,delta_rms_r_angstrom,106,2.96574734518138e-11,3.1482582808530475e-05,0.0013013657445564294,0.0025035095189994343,0.006646497410689954,0.006953003354636977
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,max_abs_quantile_radius_delta_angstrom,106,4.035781448462208e-11,0.0004913235604063716,0.007459688970241574,0.013001031246576316,0.017840167269516535,0.021350260866700433
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,max_abs_cutoff_radius_delta_angstrom,106,2.8787261455141295e-11,0.0004025352295643005,0.006007495162500712,0.010120895231993042,0.013532787253983129,0.019732304526634988
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,delta_tail_electrons_gt_10_bohr,106,5.385742528086221e-17,4.248195754751917e-06,4.0651723753908206e-05,0.0001420251558803419,0.000356805141804695,0.000982953431830448
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,delta_tail_electrons_gt_15_bohr,106,1.3283139483332397e-30,1.8689730328020752e-09,6.269860337226527e-07,1.6133433192293007e-06,3.9954549465394685e-06,4.653911316398942e-06
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,all,all,delta_tail_electrons_gt_20_bohr,106,8.593122064074799e-54,1.5613850851618763e-14,1.1797286620162096e-09,4.907158048417855e-09,1.9879230631225217e-08,2.2086344245251383e-08
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,relative_l1_delta,80,3.853215862245048e-11,0.0005209583752753428,0.001279707896435377,0.0027267503746215157,0.003958620299991503,0.004169313730796101
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,l1_delta_electrons_trapz,80,7.706718308997494e-11,0.024464473650141146,0.04218455389212958,0.0450975910177396,0.046886320876668275,0.04754449360942734
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,max_abs_cumulative_delta_electrons,80,3.852629326672741e-11,0.005032665476176756,0.008465259382803231,0.009881305480409708,0.010505308727595943,0.010664909782185816
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,mean_abs_radial_shift_angstrom,80,2.83505369196342e-11,3.859913296655968e-05,0.0003403256823479622,0.000853492317573886,0.0010969161486078544,0.001636507870276898
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,delta_mean_r_angstrom,80,2.831725767622015e-11,2.7427234050002068e-06,0.00015299390465134364,0.000527978276623748,0.0007940995211015643,0.0011199165273292702
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,delta_rms_r_angstrom,80,2.96574734518138e-11,2.4240574962003865e-05,0.00045347990111704124,0.0012465737549571337,0.0023666899508202168,0.0025668519116749974
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,max_abs_quantile_radius_delta_angstrom,80,4.035781448462208e-11,0.00040671557763176624,0.00550915694974149,0.007813725107392422,0.01692150837768837,0.01784306578624646
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,max_abs_cutoff_radius_delta_angstrom,80,2.8787261455141295e-11,0.00032268485752189914,0.004651418211868437,0.006292694659393414,0.012259627809951464,0.01343208422009548
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,delta_tail_electrons_gt_10_bohr,80,5.385742528086221e-17,5.490646016973887e-06,3.985354671544626e-05,8.106875495844357e-05,0.0004933941620769137,0.000982953431830448
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,delta_tail_electrons_gt_15_bohr,80,1.3283139483332397e-30,2.6106483670605263e-09,1.0159239401953386e-06,1.8504005663410867e-06,4.168987527967355e-06,4.653911316398942e-06
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-1,delta_tail_electrons_gt_20_bohr,80,8.593122064074799e-54,9.524347853429385e-14,3.1829786840522143e-09,8.071378314237566e-09,2.076080272236331e-08,2.2086344245251383e-08
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,relative_l1_delta,20,7.448376644293494e-05,0.00042942617797302315,0.00788988431312162,0.008810821396689464,0.009339012838685296,0.009471060699184254
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,l1_delta_electrons_trapz,20,0.0025325422349904048,0.024292896603543824,0.06668243919665606,0.0701296692612634,0.07019488311106017,0.07021118657350937
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,max_abs_cumulative_delta_electrons,20,0.00038265264445414005,0.0036515138574380046,0.015722161255628468,0.01735546808839517,0.0182910595638607,0.018524957432727085
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,mean_abs_radial_shift_angstrom,20,1.5586216027616547e-05,7.042979145476314e-05,0.002315915282406995,0.003248398835719743,0.004340541823399818,0.004613577570319839
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,delta_mean_r_angstrom,20,3.832787083660814e-07,4.0973847523114794e-05,0.0017301964538116196,0.00252212242159032,0.003578378095142026,0.0038424420135299547
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,delta_rms_r_angstrom,20,2.130249222255126e-06,0.0001552693072832726,0.0033198122418092325,0.004751130591478677,0.006512628802005313,0.006953003354636977
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,max_abs_quantile_radius_delta_angstrom,20,0.00010128010631671329,0.001307047570411064,0.012487469814994963,0.016578877312538137,0.020395984155867967,0.021350260866700433
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,max_abs_cutoff_radius_delta_angstrom,20,0.00013586429832827574,0.0010834504125748906,0.009870833083796039,0.01248671070682595,0.01828318576267317,0.019732304526634988
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,delta_tail_electrons_gt_10_bohr,20,3.513727224880339e-11,3.225700597552666e-06,0.0001238970061718802,0.00014906446024645325,0.00015008193446956967,0.00015033630302534878
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-2,delta_tail_electrons_gt_15_bohr,20,1.5255616998232273e-24,2.7247195358480535e-11,8.864615997860385e-09,7.381822497759546e-08,3.6330573831815144e-07,4.3567761665329113e-07
