state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,True,True,5.950795411990839e-14,2e-06,True,1.725172107638031e-15,1e-08,True,True,True,0,0
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,True,True,1.092459456231154e-13,2e-06,True,1.2543455672227923e-15,1e-08,True,True,True,0,0
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,True,True,1.4210854715202004e-13,2e-06,True,2.1902410102985587e-15,1e-08,True,True,True,0,0
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,True,True,1.971756091734278e-13,2e-06,True,2.098251078365467e-15,1e-08,True,True,True,0,0
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,True,True,1.7408297026122455e-13,2e-06,True,1.6287025219501018e-15,1e-08,True,True,True,0,0
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,True,True,2.4513724383723456e-13,2e-06,True,2.334832349549619e-15,1e-08,True,True,True,0,0
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,True,True,2.327027459614328e-13,2e-06,True,1.7716673728512197e-15,1e-08,True,True,True,0,0
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,True,True,2.078337502098293e-13,2e-06,True,1.2665724850835918e-15,1e-08,True,True,True,0,0
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,True,True,2.788880237858393e-13,2e-06,True,2.3936365833314825e-15,1e-08,True,True,True,0,0
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,True,True,2.5224267119483557e-13,2e-06,True,1.6069124123242144e-15,1e-08,True,True,True,0,0
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,True,True,2.327027459614328e-13,2e-06,True,1.5860693943111476e-15,1e-08,True,True,True,0,0
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,True,True,2.7711166694643907e-13,2e-06,True,2.4360262839817854e-15,1e-08,True,True,True,0,0
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,True,True,2.5579538487363607e-13,2e-06,True,2.4913990759599486e-15,1e-08,True,True,True,0,0
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,True,True,2.8421709430404007e-13,2e-06,True,1.8902579282156452e-15,1e-08,True,True,True,0,0
