state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,True,True,5.861977570020827e-14,2e-06,True,1.7611620376024652e-15,1e-08,True,True,True,0,0
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,True,True,2.9531932455029164e-14,2e-06,True,1.3474486979866618e-15,1e-08,True,True,True,0,0
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,True,True,5.773159728050814e-14,2e-06,True,1.6043019607551806e-15,1e-08,True,True,True,0,0
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0835776720341528e-13,2e-06,True,1.2944528034200454e-15,1e-08,True,True,True,0,0
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,True,True,8.126832540256146e-14,2e-06,True,1.3197239369278405e-15,1e-08,True,True,True,0,0
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,True,True,1.4210854715202004e-13,2e-06,True,2.191595512473857e-15,1e-08,True,True,True,0,0
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,True,True,1.1368683772161603e-13,2e-06,True,1.422909315447508e-15,1e-08,True,True,True,0,0
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,True,True,1.9451107391432743e-13,2e-06,True,2.1563513123376222e-15,1e-08,True,True,True,0,0
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,True,True,1.723066134218243e-13,2e-06,True,1.582260697747583e-15,1e-08,True,True,True,0,0
B_q0_mult2_nist,B,5,0,5,2,nist_reference,reference,True,True,1.474376176702208e-13,2e-06,True,1.5713447695966017e-15,1e-08,True,True,True,0,0
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,True,True,2.4868995751603507e-13,2e-06,True,2.332121464934541e-15,1e-08,True,True,True,0,0
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,True,True,2.291500322826323e-13,2e-06,True,1.7693262857390234e-15,1e-08,True,True,True,0,0
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,True,True,2.0339285811132868e-13,2e-06,True,1.3612815054900085e-15,1e-08,True,True,True,0,0
C_q0_mult3_nist,C,6,0,6,3,nist_reference,reference,True,True,1.7319479184152442e-13,2e-06,True,1.4042071717733527e-15,1e-08,True,True,True,0,0
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,True,True,2.8066438062523957e-13,2e-06,True,2.4148358594659727e-15,1e-08,True,True,True,0,0
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,True,True,2.5224267119483557e-13,2e-06,True,1.5987705402011355e-15,1e-08,True,True,True,0,0
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,True,True,2.2737367544323206e-13,2e-06,True,1.6093349561018361e-15,1e-08,True,True,True,0,0
N_q0_mult4_nist,N,7,0,7,4,nist_reference,reference,True,True,2.0605739337042905e-13,2e-06,True,1.6483032129427507e-15,1e-08,True,True,True,0,0
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,True,True,2.8066438062523957e-13,2e-06,True,2.4107376517276214e-15,1e-08,True,True,True,0,0
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,True,True,2.5934809855243657e-13,2e-06,True,2.433667968440588e-15,1e-08,True,True,True,0,0
O_q0_mult3_nist,O,8,0,8,3,nist_reference,reference,True,True,2.255973186038318e-13,2e-06,True,1.3438770398975895e-15,1e-08,True,True,True,0,0
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,True,True,2.859934511434403e-13,2e-06,True,1.8487278131115683e-15,1e-08,True,True,True,0,0
F_q0_mult2_nist,F,9,0,9,2,nist_reference,reference,True,True,2.575717417130363e-13,2e-06,True,1.4227010529945634e-15,1e-08,True,True,True,0,0
Ne_q0_mult1_nist,Ne,10,0,10,1,nist_reference,reference,True,True,2.7711166694643907e-13,2e-06,True,1.5473981066175406e-15,1e-08,True,True,True,0,0
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,True,True,3.339550858072471e-13,2.4e-06,True,1.2771943140663446e-15,1e-08,True,True,True,0,0
Na_q0_mult2_nist,Na,11,0,11,2,nist_reference,reference,True,True,3.019806626980426e-13,2.2e-06,True,1.4492179865256764e-15,1e-08,True,True,True,0,0
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,True,True,3.588240815588506e-13,2.5999999999999997e-06,True,2.209381068196996e-15,1e-08,True,True,True,0,0
Mg_q0_mult1_nist,Mg,12,0,12,1,nist_reference,reference,True,True,3.375077994860476e-13,2.4e-06,True,1.462434285630321e-15,1e-08,True,True,True,0,0
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,True,True,4.156675004196586e-13,3e-06,True,2.2194626726450036e-15,1e-08,True,True,True,0,0
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,True,True,3.907985046680551e-13,2.8e-06,True,1.6276716735988168e-15,1e-08,True,True,True,0,0
Al_q0_mult2_nist,Al,13,0,13,2,nist_reference,reference,True,True,3.588240815588506e-13,2.5999999999999997e-06,True,2.003675471822979e-15,1e-08,True,True,True,0,0
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,True,True,4.476419235288631e-13,3.2e-06,True,1.903908628670381e-15,1e-08,True,True,True,0,0
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,True,True,4.192202140984591e-13,3e-06,True,1.2655564531167847e-15,1e-08,True,True,True,0,0
Si_q0_mult3_nist,Si,14,0,14,3,nist_reference,reference,True,True,3.943512183468556e-13,2.8e-06,True,1.74478929029396e-15,1e-08,True,True,True,0,0
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,True,True,5.044853423896711e-13,3.6e-06,True,1.9317442120837068e-15,1e-08,True,True,True,0,0
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,True,True,4.618527782440651e-13,3.3999999999999996e-06,True,1.9593244937347224e-15,1e-08,True,True,True,0,0
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,True,True,4.511946372076636e-13,3.2e-06,True,1.949733682198387e-15,1e-08,True,True,True,0,0
P_q0_mult4_nist,P,15,0,15,4,nist_reference,reference,True,True,4.227729277772596e-13,3e-06,True,1.7263228601650318e-15,1e-08,True,True,True,0,0
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,True,True,4.973799150320701e-13,3.6e-06,True,2.111324952997156e-15,1e-08,True,True,True,0,0
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,True,True,4.831690603168681e-13,3.3999999999999996e-06,True,1.4676473565350188e-15,1e-08,True,True,True,0,0
S_q0_mult3_nist,S,16,0,16,3,nist_reference,reference,True,True,4.618527782440651e-13,3.2e-06,True,1.5611932209835605e-15,1e-08,True,True,True,0,0
Cl_qm1_mult1_ning2022,Cl,17,-1,18,1,ning2022_monoanion_reference,bound_experimental,True,True,5.115907697472721e-13,3.6e-06,True,1.8423784533483888e-15,1e-08,True,True,True,0,0
Cl_q0_mult2_nist,Cl,17,0,17,2,nist_reference,reference,True,True,4.760636329592671e-13,3.3999999999999996e-06,True,1.6177489063455556e-15,1e-08,True,True,True,0,0
Ar_q0_mult1_nist,Ar,18,0,18,1,nist_reference,reference,True,True,5.044853423896711e-13,3.6e-06,True,1.922728317433099e-15,1e-08,True,True,True,0,0
K_qm1_mult1_ning2022,K,19,-1,20,1,ning2022_monoanion_reference,bound_experimental,True,True,5.577760475716786e-13,4e-06,True,1.1189265578690201e-15,1e-08,True,True,True,0,0
K_q0_mult2_nist,K,19,0,19,2,nist_reference,reference,True,True,5.329070518200751e-13,3.8e-06,True,1.3881992431379257e-15,1e-08,True,True,True,0,0
Ca_qm1_mult2_ning2022,Ca,20,-1,21,2,ning2022_monoanion_reference,bound_experimental,True,True,5.684341886080801e-13,4.2e-06,True,1.385796219453977e-15,1e-08,True,True,True,0,0
Ca_q0_mult1_nist,Ca,20,0,20,1,nist_reference,reference,True,True,5.542233338928781e-13,4e-06,True,1.7769820140204927e-15,1e-08,True,True,True,0,0
Sc_qm1_mult1_ning2022,Sc,21,-1,22,1,ning2022_monoanion_reference,bound_experimental,True,True,6.039613253960852e-13,4.4e-06,True,1.859226437117164e-15,1e-08,True,True,True,0,0
Sc_q0_mult2_nist,Sc,21,0,21,2,nist_reference,reference,True,True,5.897504706808832e-13,4.2e-06,True,1.7568501412839399e-15,1e-08,True,True,True,0,0
Ti_qm1_mult4_ning2022,Ti,22,-1,23,4,ning2022_monoanion_reference,bound_experimental,True,True,6.430411758628907e-13,4.6e-06,True,1.782698693797875e-15,1e-08,True,True,True,0,0
Ti_q0_mult3_nist,Ti,22,0,22,3,nist_reference,reference,True,True,6.075140390748857e-13,4.4e-06,True,1.85211487728897e-15,1e-08,True,True,True,0,0
V_qm1_mult5_ning2022,V,23,-1,24,5,ning2022_monoanion_reference,bound_experimental,True,True,6.750155989720952e-13,4.8e-06,True,1.4882911718622375e-15,1e-08,True,True,True,0,0
V_q0_mult4_nist,V,23,0,23,4,nist_reference,reference,True,True,6.359357485052897e-13,4.6e-06,True,1.8044417157578586e-15,1e-08,True,True,True,0,0
Cr_qm1_mult6_ning2022,Cr,24,-1,25,6,ning2022_monoanion_reference,bound_experimental,True,True,6.821210263296962e-13,4.9999999999999996e-06,True,1.677784974033575e-15,1e-08,True,True,True,0,0
Cr_q0_mult7_nist,Cr,24,0,24,7,nist_reference,reference,True,True,6.608047442568932e-13,4.8e-06,True,1.797717504913222e-15,1e-08,True,True,True,0,0
Mn_qm1_mult5_formal,Mn,25,-1,26,5,formal_anion_reference,formal_monoanion,True,True,7.176481631177012e-13,5.199999999999999e-06,True,1.6531667407620311e-15,1e-08,True,True,True,0,0
Mn_q0_mult6_nist,Mn,25,0,25,6,nist_reference,reference,True,True,6.963318810448982e-13,4.9999999999999996e-06,True,1.9615441774691433e-15,1e-08,True,True,True,0,0
Fe_qm1_mult4_ning2022,Fe,26,-1,27,4,ning2022_monoanion_reference,bound_experimental,True,True,7.389644451905042e-13,5.4e-06,True,1.4932679836265842e-15,1e-08,True,True,True,0,0
Fe_q0_mult5_nist,Fe,26,0,26,5,nist_reference,reference,True,True,7.069900220812997e-13,5.199999999999999e-06,True,2.040519614398601e-15,1e-08,True,True,True,0,0
Co_qm1_mult3_ning2022,Co,27,-1,28,3,ning2022_monoanion_reference,bound_experimental,True,True,7.744915819785092e-13,5.6e-06,True,1.3591217875950798e-15,1e-08,True,True,True,0,0
Co_q0_mult4_nist,Co,27,0,27,4,nist_reference,reference,True,True,7.389644451905042e-13,5.4e-06,True,2.168193061603158e-15,1e-08,True,True,True,0,0
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,True,True,7.993605777301127e-13,5.7999999999999995e-06,True,1.245486126654024e-15,1e-08,True,True,True,0,0
Ni_q0_mult3_nist,Ni,28,0,28,3,nist_reference,reference,True,True,7.602807272633072e-13,5.6e-06,True,1.7985162802897152e-15,1e-08,True,True,True,0,0
