state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,True,True,6.039613253960852e-14,2e-06,True,1.773589281252971e-15,1e-08,True,True,True,0,0
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,True,True,3.042011087472929e-14,2e-06,True,1.4516870354325213e-15,1e-08,True,True,True,0,0
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,True,True,5.684341886080802e-14,2e-06,True,1.6925632193605879e-15,1e-08,True,True,True,0,0
He_qp1_mult2_nist,He,2,1,1,2,nist_reference,reference_uncertain,True,True,2.6867397195928788e-14,2e-06,True,1.6498119271397465e-15,1e-08,True,True,True,0,0
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0746958878371515e-13,2e-06,True,1.6220969306973493e-15,1e-08,True,True,True,0,0
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,True,True,8.171241461241152e-14,2e-06,True,1.3539169444974196e-15,1e-08,True,True,True,0,0
Li_qp1_mult1_nist,Li,3,1,2,1,nist_reference,reference_uncertain,True,True,5.417888360170764e-14,2e-06,True,1.7667291657372078e-15,1e-08,True,True,True,0,0
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,True,True,1.4477308241112041e-13,2e-06,True,2.1387777798562364e-15,1e-08,True,True,True,0,0
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,True,True,1.1546319456101628e-13,2e-06,True,1.3195168712668879e-15,1e-08,True,True,True,0,0
Be_qp1_mult2_nist,Be,4,1,3,2,nist_reference,reference,True,True,8.615330671091215e-14,2e-06,True,2.0627286005640716e-15,1e-08,True,True,True,0,0
Be_qp2_mult1_nist,Be,4,2,2,1,nist_reference,reference_uncertain,True,True,5.240252676230739e-14,2e-06,True,2.3483147366045025e-15,1e-08,True,True,True,0,0
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,True,True,1.9895196601282805e-13,2e-06,True,2.2978106971275693e-15,1e-08,True,True,True,0,0
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,True,True,1.7319479184152442e-13,2e-06,True,2.368394452597439e-15,1e-08,True,True,True,0,0
B_q0_mult2_nist,B,5,0,5,2,nist_reference,reference,True,True,1.4566126083082054e-13,2e-06,True,1.1992996543332909e-15,1e-08,True,True,True,0,0
B_qp1_mult1_nist,B,5,1,4,1,nist_reference,reference,True,True,1.1457501614131615e-13,2e-06,True,1.6359611404976885e-15,1e-08,True,True,True,0,0
B_qp2_mult2_nist,B,5,2,3,2,nist_reference,reference,True,True,8.526512829121202e-14,2e-06,True,2.1462411872887487e-15,1e-08,True,True,True,0,0
B_qp3_mult1_nist,B,5,3,2,1,nist_reference,reference_uncertain,True,True,5.3290705182007514e-14,2e-06,True,1.6321647273964873e-15,1e-08,True,True,True,0,0
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,True,True,2.5579538487363607e-13,2e-06,True,3.750386237570473e-15,1e-08,True,True,True,0,0
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,True,True,2.291500322826323e-13,2e-06,True,3.681617571503336e-15,1e-08,True,True,True,0,0
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,True,True,2.0872192862952943e-13,2e-06,True,1.70118846789902e-15,1e-08,True,True,True,0,0
C_q0_mult3_nist,C,6,0,6,3,nist_reference,reference,True,True,1.7852386235972517e-13,2e-06,True,1.6360910720339699e-15,1e-08,True,True,True,0,0
C_qp1_mult2_nist,C,6,1,5,2,nist_reference,reference,True,True,1.4299672557172016e-13,2e-06,True,1.7685871712987257e-15,1e-08,True,True,True,0,0
C_qp2_mult1_nist,C,6,2,4,1,nist_reference,reference,True,True,1.127986593019159e-13,2e-06,True,2.142002959862814e-15,1e-08,True,True,True,0,0
C_qp3_mult2_nist,C,6,3,3,2,nist_reference,reference,True,True,8.126832540256146e-14,2e-06,True,2.4555085624402515e-15,1e-08,True,True,True,0,0
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,True,True,2.877698079828406e-13,2e-06,True,2.639876685896722e-15,1e-08,True,True,True,0,0
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,True,True,2.6290081223123707e-13,2e-06,True,2.625266139648101e-15,1e-08,True,True,True,0,0
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,True,True,2.327027459614328e-13,2e-06,True,2.5686915537952726e-15,1e-08,True,True,True,0,0
N_q0_mult4_nist,N,7,0,7,4,nist_reference,reference,True,True,2.0339285811132868e-13,2e-06,True,1.7636333493303336e-15,1e-08,True,True,True,0,0
N_qp1_mult3_nist,N,7,1,6,3,nist_reference,reference_uncertain,True,True,1.6964207816272392e-13,2e-06,True,1.5261618418249001e-15,1e-08,True,True,True,0,0
N_qp2_mult2_nist,N,7,2,5,2,nist_reference,reference_uncertain,True,True,1.4033219031261979e-13,2e-06,True,2.3099765771900865e-15,1e-08,True,True,True,0,0
N_qp3_mult1_nist,N,7,3,4,1,nist_reference,reference,True,True,1.1013412404281553e-13,2e-06,True,2.494289863299371e-15,1e-08,True,True,True,0,0
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,True,True,2.948752353404416e-13,2e-06,True,2.8082210831418645e-15,1e-08,True,True,True,0,0
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,True,True,2.5934809855243657e-13,2e-06,True,2.0068016689056644e-15,1e-08,True,True,True,0,0
O_q0_mult3_nist,O,8,0,8,3,nist_reference,reference,True,True,2.2737367544323206e-13,2e-06,True,1.964001067719376e-15,1e-08,True,True,True,0,0
O_qp1_mult4_nist,O,8,1,7,4,nist_reference,reference,True,True,1.9184653865522705e-13,2e-06,True,1.8604537724598432e-15,1e-08,True,True,True,0,0
O_qp2_mult3_nist,O,8,2,6,3,nist_reference,reference_uncertain,True,True,1.6697754290362354e-13,2e-06,True,2.108546295843532e-15,1e-08,True,True,True,0,0
O_qp3_mult2_nist,O,8,3,5,2,nist_reference,reference,True,True,1.376676550535194e-13,2e-06,True,1.7813815425990165e-15,1e-08,True,True,True,0,0
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,True,True,2.8066438062523957e-13,2e-06,True,1.9829392616078058e-15,1e-08,True,True,True,0,0
F_q0_mult2_nist,F,9,0,9,2,nist_reference,reference,True,True,2.5579538487363607e-13,2e-06,True,2.024108147993125e-15,1e-08,True,True,True,0,0
F_qp1_mult3_nist,F,9,1,8,3,nist_reference,reference,True,True,2.2382096176443156e-13,2e-06,True,1.535742774211449e-15,1e-08,True,True,True,0,0
F_qp2_mult4_nist,F,9,2,7,4,nist_reference,reference_uncertain,True,True,1.9273471707492718e-13,2e-06,True,2.224020010464736e-15,1e-08,True,True,True,0,0
F_qp3_mult3_nist,F,9,3,6,3,nist_reference,reference_uncertain,True,True,1.6342482922482304e-13,2e-06,True,1.9622727719510594e-15,1e-08,True,True,True,0,0
Ne_q0_mult1_nist,Ne,10,0,10,1,nist_reference,reference,True,True,2.7711166694643907e-13,2e-06,True,2.13063809892509e-15,1e-08,True,True,True,0,0
Ne_qp1_mult2_nist,Ne,10,1,9,2,nist_reference,reference,True,True,2.469136006766348e-13,2e-06,True,1.7818015010640937e-15,1e-08,True,True,True,0,0
Ne_qp2_mult3_nist,Ne,10,2,8,3,nist_reference,reference,True,True,2.149391775674303e-13,2e-06,True,1.7656017716418842e-15,1e-08,True,True,True,0,0
Ne_qp3_mult4_nist,Ne,10,3,7,4,nist_reference,reference_uncertain,True,True,1.8829382497642655e-13,2e-06,True,2.133065605300238e-15,1e-08,True,True,True,0,0
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,True,True,3.304023721284466e-13,2.4e-06,True,1.6494511697948851e-15,1e-08,True,True,True,0,0
Na_q0_mult2_nist,Na,11,0,11,2,nist_reference,reference,True,True,3.019806626980426e-13,2.2e-06,True,1.7389773435917567e-15,1e-08,True,True,True,0,0
Na_qp1_mult1_nist,Na,11,1,10,1,nist_reference,reference,True,True,2.8066438062523957e-13,2e-06,True,1.9021641884922846e-15,1e-08,True,True,True,0,0
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,True,True,3.5704772471945034e-13,2.5999999999999997e-06,True,1.917259404949755e-15,1e-08,True,True,True,0,0
Mg_q0_mult1_nist,Mg,12,0,12,1,nist_reference,reference,True,True,3.3217872896784684e-13,2.4e-06,True,1.5056377952832245e-15,1e-08,True,True,True,0,0
Mg_qp1_mult2_nist,Mg,12,1,11,2,nist_reference,reference,True,True,3.090860900556436e-13,2.2e-06,True,1.9723930211674482e-15,1e-08,True,True,True,0,0
Mg_qp2_mult1_nist,Mg,12,2,10,1,nist_reference,reference,True,True,2.7000623958883807e-13,2e-06,True,2.351976485396137e-15,1e-08,True,True,True,0,0
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,True,True,4.085620730620576e-13,3e-06,True,2.645294032807325e-15,1e-08,True,True,True,0,0
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,True,True,3.765876499528531e-13,2.8e-06,True,2.615250812609862e-15,1e-08,True,True,True,0,0
Al_q0_mult2_nist,Al,13,0,13,2,nist_reference,reference,True,True,3.588240815588506e-13,2.5999999999999997e-06,True,2.655272346581123e-15,1e-08,True,True,True,0,0
Al_qp1_mult1_nist,Al,13,1,12,1,nist_reference,reference,True,True,3.339550858072471e-13,2.4e-06,True,1.48255688181289e-15,1e-08,True,True,True,0,0
Al_qp2_mult2_nist,Al,13,2,11,2,nist_reference,reference,True,True,2.984279490192421e-13,2.2e-06,True,1.859709328832429e-15,1e-08,True,True,True,0,0
Al_qp3_mult1_nist,Al,13,3,10,1,nist_reference,reference,True,True,2.682298827494378e-13,2e-06,True,2.615443964768666e-15,1e-08,True,True,True,0,0
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,True,True,4.440892098500626e-13,3.2e-06,True,2.241468397151805e-15,1e-08,True,True,True,0,0
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,True,True,4.156675004196586e-13,3e-06,True,2.1611845956535887e-15,1e-08,True,True,True,0,0
Si_q0_mult3_nist,Si,14,0,14,3,nist_reference,reference,True,True,3.943512183468556e-13,2.8e-06,True,2.2194572744552754e-15,1e-08,True,True,True,0,0
Si_qp1_mult2_nist,Si,14,1,13,2,nist_reference,reference,True,True,3.6415315207705135e-13,2.5999999999999997e-06,True,1.4267775739150624e-15,1e-08,True,True,True,0,0
Si_qp2_mult1_nist,Si,14,2,12,1,nist_reference,reference,True,True,3.375077994860476e-13,2.4e-06,True,1.8234237586453295e-15,1e-08,True,True,True,0,0
Si_qp3_mult2_nist,Si,14,3,11,2,nist_reference,reference,True,True,2.984279490192421e-13,2.2e-06,True,2.6927014916779445e-15,1e-08,True,True,True,0,0
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,True,True,5.044853423896711e-13,3.6e-06,True,3.2878812483436294e-15,1e-08,True,True,True,0,0
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,True,True,4.831690603168681e-13,3.3999999999999996e-06,True,3.3767800435720154e-15,1e-08,True,True,True,0,0
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,True,True,4.547473508864641e-13,3.2e-06,True,2.1454077364106102e-15,1e-08,True,True,True,0,0
P_q0_mult4_nist,P,15,0,15,4,nist_reference,reference,True,True,4.2810199829546036e-13,3e-06,True,1.957934297040078e-15,1e-08,True,True,True,0,0
P_qp1_mult3_nist,P,15,1,14,3,nist_reference,reference_uncertain,True,True,3.872457909892546e-13,2.8e-06,True,1.5294703956550645e-15,1e-08,True,True,True,0,0
P_qp2_mult2_nist,P,15,2,13,2,nist_reference,reference,True,True,3.623767952376511e-13,2.5999999999999997e-06,True,1.7269295847412447e-15,1e-08,True,True,True,0,0
P_qp3_mult1_nist,P,15,3,12,1,nist_reference,reference,True,True,3.2862601528904634e-13,2.4e-06,True,2.666462284169248e-15,1e-08,True,True,True,0,0
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,True,True,5.080380560684716e-13,3.6e-06,True,2.997035537034031e-15,1e-08,True,True,True,0,0
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,True,True,4.796163466380676e-13,3.3999999999999996e-06,True,2.1676640764596047e-15,1e-08,True,True,True,0,0
S_q0_mult3_nist,S,16,0,16,3,nist_reference,reference,True,True,4.547473508864641e-13,3.2e-06,True,2.2106135161271063e-15,1e-08,True,True,True,0,0
S_qp1_mult4_nist,S,16,1,15,4,nist_reference,reference,True,True,4.263256414560601e-13,3e-06,True,1.6751800800230526e-15,1e-08,True,True,True,0,0
S_qp2_mult3_nist,S,16,2,14,3,nist_reference,reference_uncertain,True,True,3.979039320256561e-13,2.8e-06,True,2.0573982134134222e-15,1e-08,True,True,True,0,0
