state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_q0_mult2_hund,H,1,0,1,2,nist_ground_state,recommended,True,True,2.9531932455029164e-14,2e-06,True,1.477066866691679e-15,1e-08,True,True,True,0,0
He_q0_mult1_hund,He,2,0,2,1,nist_ground_state,recommended,True,True,5.773159728050814e-14,2e-06,True,1.848683997336336e-15,1e-08,True,True,True,0,0
Li_q0_mult2_hund,Li,3,0,3,2,nist_ground_state,recommended,True,True,8.393286066166183e-14,2e-06,True,1.5264521333900731e-15,1e-08,True,True,True,0,0
Be_q0_mult1_hund,Be,4,0,4,1,nist_ground_state,recommended,True,True,1.1546319456101628e-13,2e-06,True,1.667454777815037e-15,1e-08,True,True,True,0,0
B_q0_mult2_hund,B,5,0,5,2,nist_ground_state,recommended,True,True,1.4654943925052066e-13,2e-06,True,1.8976160697905734e-15,1e-08,True,True,True,0,0
C_q0_mult3_hund,C,6,0,6,3,nist_ground_state,recommended,True,True,1.7497114868092467e-13,2e-06,True,2.3584472455109535e-15,1e-08,True,True,True,0,0
N_q0_mult4_hund,N,7,0,7,4,nist_ground_state,recommended,True,True,1.9806378759312793e-13,2e-06,True,1.685446115594447e-15,1e-08,True,True,True,0,0
O_q0_mult3_hund,O,8,0,8,3,nist_ground_state,recommended,True,True,2.3092638912203256e-13,2e-06,True,1.9810009123736737e-15,1e-08,True,True,True,0,0
F_q0_mult2_hund,F,9,0,9,2,nist_ground_state,recommended,True,True,2.5579538487363607e-13,2e-06,True,2.3676282987930977e-15,1e-08,True,True,True,0,0
Ne_q0_mult1_hund,Ne,10,0,10,1,nist_ground_state,recommended,True,True,2.8421709430404007e-13,2e-06,True,2.088644810330939e-15,1e-08,True,True,True,0,0
Na_q0_mult2_hund,Na,11,0,11,2,nist_ground_state,recommended,True,True,3.0375701953744283e-13,2.2e-06,True,1.3517556495009994e-15,1e-08,True,True,True,0,0
Mg_q0_mult1_hund,Mg,12,0,12,1,nist_ground_state,recommended,True,True,3.375077994860476e-13,2.4e-06,True,2.119970352098494e-15,1e-08,True,True,True,0,0
Al_q0_mult2_hund,Al,13,0,13,2,nist_ground_state,recommended,True,True,3.623767952376511e-13,2.5999999999999997e-06,True,2.573341982491734e-15,1e-08,True,True,True,0,0
Si_q0_mult3_hund,Si,14,0,14,3,nist_ground_state,recommended,True,True,3.979039320256561e-13,2.8e-06,True,1.7724570874145884e-15,1e-08,True,True,True,0,0
P_q0_mult4_hund,P,15,0,15,4,nist_ground_state,recommended,True,True,4.298783551348606e-13,3e-06,True,2.099200988536613e-15,1e-08,True,True,True,0,0
S_q0_mult3_hund,S,16,0,16,3,nist_ground_state,recommended,True,True,4.547473508864641e-13,3.2e-06,True,2.342158125861221e-15,1e-08,True,True,True,0,0
Cl_q0_mult2_hund,Cl,17,0,17,2,nist_ground_state,recommended,True,True,4.867217739956686e-13,3.3999999999999996e-06,True,2.222199289614555e-15,1e-08,True,True,True,0,0
Ar_q0_mult1_hund,Ar,18,0,18,1,nist_ground_state,recommended,True,True,5.115907697472721e-13,3.6e-06,True,1.861759704944515e-15,1e-08,True,True,True,0,0
K_q0_mult2_hund,K,19,0,19,2,nist_ground_state,recommended,True,True,5.329070518200751e-13,3.8e-06,True,1.7652134661470666e-15,1e-08,True,True,True,0,0
Ca_q0_mult1_hund,Ca,20,0,20,1,nist_ground_state,recommended,True,True,5.613287612504791e-13,4e-06,True,1.5799782155661718e-15,1e-08,True,True,True,0,0
Sc_q0_mult2_hund,Sc,21,0,21,2,nist_ground_state,recommended,True,True,5.826450433232822e-13,4.2e-06,True,1.8059191495487875e-15,1e-08,True,True,True,0,0
Ti_q0_mult3_hund,Ti,22,0,22,3,nist_ground_state,recommended,True,True,6.110667527536862e-13,4.4e-06,True,1.8520324904004867e-15,1e-08,True,True,True,0,0
V_q0_mult4_hund,V,23,0,23,4,nist_ground_state,recommended,True,True,6.323830348264892e-13,4.6e-06,True,1.7953940000582324e-15,1e-08,True,True,True,0,0
Cr_q0_mult7_hund,Cr,24,0,24,7,nist_ground_state,recommended,True,True,6.750155989720952e-13,4.8e-06,True,1.6318772940933427e-15,1e-08,True,True,True,0,0
Mn_q0_mult6_hund,Mn,25,0,25,6,nist_ground_state,recommended,True,True,6.856737400084967e-13,4.9999999999999996e-06,True,2.1030761029113367e-15,1e-08,True,True,True,0,0
Fe_q0_mult5_hund,Fe,26,0,26,5,nist_ground_state,recommended,True,True,7.247535904753022e-13,5.199999999999999e-06,True,1.854552120925521e-15,1e-08,True,True,True,0,0
Co_q0_mult4_hund,Co,27,0,27,4,nist_ground_state,recommended,True,True,7.567280135845067e-13,5.4e-06,True,1.8316995567121873e-15,1e-08,True,True,True,0,0
Ni_q0_mult3_hund,Ni,28,0,28,3,nist_ground_state,recommended,True,True,7.531752999057062e-13,5.6e-06,True,1.8356384995593816e-15,1e-08,True,True,True,0,0
Cu_q0_mult2_hund,Cu,29,0,29,2,nist_ground_state,recommended,True,True,7.958078640513122e-13,5.7999999999999995e-06,True,2.1559811044435606e-15,1e-08,True,True,True,0,0
Zn_q0_mult1_hund,Zn,30,0,30,1,nist_ground_state,recommended,True,True,8.242295734817162e-13,6e-06,True,1.7024604252861926e-15,1e-08,True,True,True,0,0
Ga_q0_mult2_hund,Ga,31,0,31,2,nist_ground_state,recommended,True,True,8.490985692333197e-13,6.2e-06,True,2.2831841700864846e-15,1e-08,True,True,True,0,0
Ge_q0_mult3_hund,Ge,32,0,32,3,nist_ground_state,recommended,True,True,8.668621376273222e-13,6.4e-06,True,1.8936043292859218e-15,1e-08,True,True,True,0,0
As_q0_mult4_hund,As,33,0,33,4,nist_ground_state,recommended,True,True,9.094947017729282e-13,6.5999999999999995e-06,True,2.472190968432866e-15,1e-08,True,True,True,0,0
Se_q0_mult3_hund,Se,34,0,34,3,nist_ground_state,recommended,True,True,9.308109838457312e-13,6.799999999999999e-06,True,2.3848806655333426e-15,1e-08,True,True,True,0,0
Br_q0_mult2_hund,Br,35,0,35,2,nist_ground_state,recommended,True,True,9.663381206337363e-13,7e-06,True,2.203311135036595e-15,1e-08,True,True,True,0,0
Kr_q0_mult1_hund,Kr,36,0,36,1,nist_ground_state,recommended,True,True,9.947598300641403e-13,7.2e-06,True,2.329238550191893e-15,1e-08,True,True,True,0,0
Rb_q0_mult2_hund,Rb,37,0,37,2,nist_ground_state,recommended,True,True,1.0089706847793423e-12,7.3999999999999995e-06,True,1.4203983133869734e-15,1e-08,True,True,True,0,0
Sr_q0_mult1_hund,Sr,38,0,38,1,nist_ground_state,recommended,True,True,1.0516032489249483e-12,7.6e-06,True,1.5361912740898637e-15,1e-08,True,True,True,0,0
Y_q0_mult2_hund,Y,39,0,39,2,nist_ground_state,recommended,True,True,1.0800249583553523e-12,7.8e-06,True,1.6284167178893809e-15,1e-08,True,True,True,0,0
Zr_q0_mult3_hund,Zr,40,0,40,3,nist_ground_state,recommended,True,True,1.1013412404281553e-12,8e-06,True,1.8434525850808424e-15,1e-08,True,True,True,0,0
Nb_q0_mult6_hund,Nb,41,0,41,6,nist_ground_state,recommended,True,True,1.1368683772161603e-12,8.2e-06,True,1.874127508490486e-15,1e-08,True,True,True,0,0
Mo_q0_mult7_hund,Mo,42,0,42,7,nist_ground_state,recommended,True,True,1.1652900866465643e-12,8.4e-06,True,1.8778870096793466e-15,1e-08,True,True,True,0,0
Tc_q0_mult6_hund,Tc,43,0,43,6,nist_ground_state,recommended,True,True,1.1937117960769683e-12,8.599999999999999e-06,True,1.7774899707217628e-15,1e-08,True,True,True,0,0
Ru_q0_mult5_hund,Ru,44,0,44,5,nist_ground_state,recommended,True,True,1.2150280781497713e-12,8.8e-06,True,1.872778829420265e-15,1e-08,True,True,True,0,0
Rh_q0_mult4_hund,Rh,45,0,45,4,nist_ground_state,recommended,True,True,1.2363443602225743e-12,9e-06,True,2.2509259659787145e-15,1e-08,True,True,True,0,0
Pd_q0_mult1_hund,Pd,46,0,46,1,nist_ground_state,recommended,True,True,1.2647660696529783e-12,9.2e-06,True,1.8174795654887717e-15,1e-08,True,True,True,0,0
Ag_q0_mult2_hund,Ag,47,0,47,2,nist_ground_state,recommended,True,True,1.3073986337985843e-12,9.4e-06,True,1.9508583184344754e-15,1e-08,True,True,True,0,0
Cd_q0_mult1_hund,Cd,48,0,48,1,nist_ground_state,recommended,True,True,1.3358203432289883e-12,9.6e-06,True,2.59742207871311e-15,1e-08,True,True,True,0,0
In_q0_mult2_hund,In,49,0,49,2,nist_ground_state,recommended,True,True,1.3358203432289883e-12,9.8e-06,True,1.5269495810247835e-15,1e-08,True,True,True,0,0
Sn_q0_mult3_hund,Sn,50,0,50,3,nist_ground_state,recommended,True,True,1.3642420526593924e-12,9.999999999999999e-06,True,2.3853560854269517e-15,1e-08,True,True,True,0,0
Sb_q0_mult4_hund,Sb,51,0,51,4,nist_ground_state,recommended,True,True,1.3855583347321954e-12,1.0199999999999999e-05,True,1.97260660094995e-15,1e-08,True,True,True,0,0
Te_q0_mult3_hund,Te,52,0,52,3,nist_ground_state,recommended,True,True,1.4424017535930034e-12,1.0399999999999999e-05,True,1.877891811166041e-15,1e-08,True,True,True,0,0
I_q0_mult2_hund,I,53,0,53,2,nist_ground_state,recommended,True,True,1.4495071809506044e-12,1.06e-05,True,2.309943565879309e-15,1e-08,True,True,True,0,0
Xe_q0_mult1_hund,Xe,54,0,54,1,nist_ground_state,recommended,True,True,1.4992451724538114e-12,1.08e-05,True,2.325873361245822e-15,1e-08,True,True,True,0,0
Cs_q0_mult2_hund,Cs,55,0,55,2,nist_ground_state,recommended,True,True,1.4779288903810084e-12,1.1e-05,True,1.2929192948094714e-15,1e-08,True,True,True,0,0
Ba_q0_mult1_hund,Ba,56,0,56,1,nist_ground_state,recommended,True,True,1.5347723092418164e-12,1.12e-05,True,1.4427174746734167e-15,1e-08,True,True,True,0,0
La_q0_mult2_hund,La,57,0,57,2,nist_ground_state,recommended,True,True,1.5631940186722204e-12,1.14e-05,True,1.3818407344500758e-15,1e-08,True,True,True,0,0
