state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,True,True,6.306066779870889e-14,2e-06,True,2.121924767514809e-15,1e-08,True,True,True,0,0
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0835776720341528e-13,2e-06,True,1.800655097249749e-15,1e-08,True,True,True,0,0
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,True,True,1.4477308241112041e-13,2e-06,True,2.3421030649179456e-15,1e-08,True,True,True,0,0
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,True,True,1.9895196601282805e-13,2e-06,True,3.19414202099477e-15,1e-08,True,True,True,0,0
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,True,True,1.758593271006248e-13,2e-06,True,3.2030654069070537e-15,1e-08,True,True,True,0,0
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,True,True,2.5934809855243657e-13,2e-06,True,2.4376886732958757e-15,1e-08,True,True,True,0,0
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,True,True,2.3447910280083306e-13,2e-06,True,2.5124605770957113e-15,1e-08,True,True,True,0,0
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,True,True,2.0872192862952943e-13,2e-06,True,2.4237844255786903e-15,1e-08,True,True,True,0,0
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,True,True,2.913225216616411e-13,2e-06,True,2.4983270990805063e-15,1e-08,True,True,True,0,0
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,True,True,2.646771690706373e-13,2e-06,True,2.552600522714343e-15,1e-08,True,True,True,0,0
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,True,True,2.362554596402333e-13,2e-06,True,2.5395683983868132e-15,1e-08,True,True,True,0,0
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,True,True,2.984279490192421e-13,2e-06,True,2.131093227127453e-15,1e-08,True,True,True,0,0
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,True,True,2.5934809855243657e-13,2e-06,True,2.0868713912173375e-15,1e-08,True,True,True,0,0
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,True,True,2.8421709430404007e-13,2e-06,True,2.405384552200672e-15,1e-08,True,True,True,0,0
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,True,True,3.232969447708456e-13,2.4e-06,True,1.2737657549756577e-15,1e-08,True,True,True,0,0
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,True,True,3.623767952376511e-13,2.5999999999999997e-06,True,1.8301633013393347e-15,1e-08,True,True,True,0,0
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,True,True,4.1033842990145786e-13,3e-06,True,2.56208877344999e-15,1e-08,True,True,True,0,0
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,True,True,3.907985046680551e-13,2.8e-06,True,2.561219506611509e-15,1e-08,True,True,True,0,0
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,True,True,4.476419235288631e-13,3.2e-06,True,2.885806995962909e-15,1e-08,True,True,True,0,0
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,True,True,4.227729277772596e-13,3e-06,True,2.902764512799887e-15,1e-08,True,True,True,0,0
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,True,True,5.115907697472721e-13,3.6e-06,True,2.3629517191927554e-15,1e-08,True,True,True,0,0
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,True,True,4.796163466380676e-13,3.3999999999999996e-06,True,2.367353645635159e-15,1e-08,True,True,True,0,0
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,True,True,4.511946372076636e-13,3.2e-06,True,2.048482469183681e-15,1e-08,True,True,True,0,0
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,True,True,5.222489107836736e-13,3.6e-06,True,2.4839745508580673e-15,1e-08,True,True,True,0,0
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,True,True,4.902744876744691e-13,3.3999999999999996e-06,True,2.488960155981958e-15,1e-08,True,True,True,0,0
Cl_qm1_mult1_ning2022,Cl,17,-1,18,1,ning2022_monoanion_reference,bound_experimental,True,True,5.115907697472721e-13,3.6e-06,True,2.328118486145736e-15,1e-08,True,True,True,0,0
K_qm1_mult1_ning2022,K,19,-1,20,1,ning2022_monoanion_reference,bound_experimental,True,True,5.542233338928781e-13,4e-06,True,1.939995763845534e-15,1e-08,True,True,True,1,3
Ca_qm1_mult2_ning2022,Ca,20,-1,21,2,ning2022_monoanion_reference,bound_experimental,True,True,5.755396159656812e-13,4.2e-06,True,1.850377564390589e-15,1e-08,True,True,True,1,3
Sc_qm1_mult1_ning2022,Sc,21,-1,22,1,ning2022_monoanion_reference,bound_experimental,True,True,6.181721801112872e-13,4.4e-06,True,1.7635259055291786e-15,1e-08,True,True,True,1,3
Ti_qm1_mult4_ning2022,Ti,22,-1,23,4,ning2022_monoanion_reference,bound_experimental,True,True,6.394884621840902e-13,4.6e-06,True,1.706651882189874e-15,1e-08,True,True,True,1,3
V_qm1_mult5_ning2022,V,23,-1,24,5,ning2022_monoanion_reference,bound_experimental,True,True,6.608047442568932e-13,4.8e-06,True,1.7172219493498421e-15,1e-08,True,True,True,1,3
Cr_qm1_mult6_ning2022,Cr,24,-1,25,6,ning2022_monoanion_reference,bound_experimental,True,True,6.892264536872972e-13,4.9999999999999996e-06,True,1.4975284740693455e-15,1e-08,True,True,True,1,3
Mn_qm1_mult5_formal,Mn,25,-1,26,5,formal_anion_reference,formal_monoanion,True,True,7.176481631177012e-13,5.199999999999999e-06,True,1.8838450920955527e-15,1e-08,True,True,True,0,0
Fe_qm1_mult4_ning2022,Fe,26,-1,27,4,ning2022_monoanion_reference,bound_experimental,True,True,7.460698725481052e-13,5.4e-06,True,1.844426872408741e-15,1e-08,True,True,True,0,0
Co_qm1_mult3_ning2022,Co,27,-1,28,3,ning2022_monoanion_reference,bound_experimental,True,True,7.602807272633072e-13,5.6e-06,True,2.5150120537068095e-15,1e-08,True,True,True,0,0
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,True,True,7.958078640513122e-13,5.7999999999999995e-06,True,2.669468231943157e-15,1e-08,True,True,True,0,0
Cu_qm1_mult1_ning2022,Cu,29,-1,30,1,ning2022_monoanion_reference,bound_experimental,True,True,8.242295734817162e-13,6e-06,True,2.227689069576858e-15,1e-08,True,True,True,0,0
Zn_qm1_mult2_formal,Zn,30,-1,31,2,formal_anion_reference,formal_monoanion,True,True,8.384404281969182e-13,6.2e-06,True,1.8119022367001504e-15,1e-08,True,True,True,0,0
Ga_qm2_mult4_formal,Ga,31,-2,33,4,formal_anion_reference,formal_multianion,True,True,8.952838470577262e-13,6.5999999999999995e-06,True,2.1840230201137926e-15,1e-08,True,True,True,0,0
Ga_qm1_mult3_ning2022,Ga,31,-1,32,3,ning2022_monoanion_reference,bound_experimental,True,True,8.668621376273222e-13,6.4e-06,True,2.2015904421355193e-15,1e-08,True,True,True,0,0
Ge_qm2_mult3_formal,Ge,32,-2,34,3,formal_anion_reference,formal_multianion,True,True,9.237055564881302e-13,6.799999999999999e-06,True,3.850761724935769e-15,1e-08,True,True,True,0,0
Ge_qm1_mult4_ning2022,Ge,32,-1,33,4,ning2022_monoanion_reference,bound_experimental,True,True,8.952838470577262e-13,6.5999999999999995e-06,True,2.117440331325193e-15,1e-08,True,True,True,0,0
As_qm3_mult1_formal,As,33,-3,36,1,formal_anion_reference,formal_multianion,True,True,9.876544027065393e-13,7.2e-06,True,2.488544605340242e-15,1e-08,True,True,True,0,0
As_qm2_mult2_formal,As,33,-2,35,2,formal_anion_reference,formal_multianion,True,True,9.663381206337363e-13,7e-06,True,2.481865699627166e-15,1e-08,True,True,True,0,0
As_qm1_mult3_ning2022,As,33,-1,34,3,ning2022_monoanion_reference,bound_experimental,True,True,9.308109838457312e-13,6.799999999999999e-06,True,2.424636395901304e-15,1e-08,True,True,True,0,0
Se_qm2_mult1_formal,Se,34,-2,36,1,formal_anion_reference,formal_multianion,True,True,9.947598300641403e-13,7.2e-06,True,2.594836131207871e-15,1e-08,True,True,True,0,0
Se_qm1_mult2_ning2022,Se,34,-1,35,2,ning2022_monoanion_reference,bound_experimental,True,True,9.663381206337363e-13,7e-06,True,2.585535532982901e-15,1e-08,True,True,True,0,0
Br_qm1_mult1_ning2022,Br,35,-1,36,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0089706847793423e-12,7.2e-06,True,2.1108917508980775e-15,1e-08,True,True,True,0,0
Rb_qm1_mult1_ning2022,Rb,37,-1,38,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0444978215673473e-12,7.6e-06,True,1.4171188371527563e-15,1e-08,True,True,True,1,5
Sr_qm1_mult2_ning2022,Sr,38,-1,39,2,ning2022_monoanion_reference,bound_experimental,True,True,1.0800249583553523e-12,7.8e-06,True,1.92635755062438e-15,1e-08,True,True,True,1,5
Y_qm1_mult1_ning2022,Y,39,-1,40,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0871303857129533e-12,8e-06,True,1.846759798418251e-15,1e-08,True,True,True,1,5
Zr_qm1_mult4_ning2022,Zr,40,-1,41,4,ning2022_monoanion_reference,bound_experimental,True,True,1.1226575225009583e-12,8.2e-06,True,1.6745727324097662e-15,1e-08,True,True,True,1,5
Nb_qm1_mult5_ning2022,Nb,41,-1,42,5,ning2022_monoanion_reference,bound_experimental,True,True,1.1581846592889633e-12,8.4e-06,True,1.4820102829814804e-15,1e-08,True,True,True,1,5
Mo_qm1_mult6_ning2022,Mo,42,-1,43,6,ning2022_monoanion_reference,bound_experimental,True,True,1.1723955140041653e-12,8.599999999999999e-06,True,1.6973988501811532e-15,1e-08,True,True,True,1,5
Tc_qm1_mult5_formal,Tc,43,-1,44,5,formal_anion_reference,formal_monoanion,True,True,1.2150280781497713e-12,8.8e-06,True,1.5852627538576755e-15,1e-08,True,True,True,1,5
Ru_qm1_mult4_ning2022,Ru,44,-1,45,4,ning2022_monoanion_reference,bound_experimental,True,True,1.2363443602225743e-12,9e-06,True,1.8173187045152386e-15,1e-08,True,True,True,1,5
Rh_qm1_mult3_ning2022,Rh,45,-1,46,3,ning2022_monoanion_reference,bound_experimental,True,True,1.2647660696529783e-12,9.2e-06,True,1.8978345298098134e-15,1e-08,True,True,True,1,5
Pd_qm1_mult2_ning2022,Pd,46,-1,47,2,ning2022_monoanion_reference,bound_experimental,True,True,1.2931877790833823e-12,9.4e-06,True,1.972118992136193e-15,1e-08,True,True,True,1,5
Ag_qm1_mult1_ning2022,Ag,47,-1,48,1,ning2022_monoanion_reference,bound_experimental,True,True,1.3216094885137863e-12,9.6e-06,True,2.0631201465613773e-15,1e-08,True,True,True,1,5
Cd_qm1_mult2_formal,Cd,48,-1,49,2,formal_anion_reference,formal_monoanion,True,True,1.3358203432289883e-12,9.8e-06,True,2.0632709278816047e-15,1e-08,True,True,True,1,5
