state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,True,True,6.217248937900877e-14,2e-06,True,2.1006661640120253e-15,1e-08,True,True,True,0,0
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,True,True,2.9531932455029164e-14,2e-06,True,1.4742166385496093e-15,1e-08,True,True,True,0,0
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,True,True,5.551115123125783e-14,2e-06,True,1.8486839975883047e-15,1e-08,True,True,True,0,0
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,True,True,1.1013412404281553e-13,2e-06,True,1.8550133920752737e-15,1e-08,True,True,True,0,0
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,True,True,8.348877145181177e-14,2e-06,True,1.623728707505423e-15,1e-08,True,True,True,0,0
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,True,True,1.438849039914203e-13,2e-06,True,2.40359863455552e-15,1e-08,True,True,True,0,0
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,True,True,1.1812772982011666e-13,2e-06,True,1.6648893118033566e-15,1e-08,True,True,True,0,0
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,True,True,2.007283228522283e-13,2e-06,True,3.1792270738695512e-15,1e-08,True,True,True,0,0
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,True,True,1.7763568394002505e-13,2e-06,True,3.107862309937009e-15,1e-08,True,True,True,0,0
B_q0_mult2_nist,B,5,0,5,2,nist_reference,reference,True,True,1.474376176702208e-13,2e-06,True,1.9099656883266763e-15,1e-08,True,True,True,0,0
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,True,True,2.5934809855243657e-13,2e-06,True,2.3718315457023286e-15,1e-08,True,True,True,0,0
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,True,True,2.327027459614328e-13,2e-06,True,2.4475035426664443e-15,1e-08,True,True,True,0,0
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,True,True,2.078337502098293e-13,2e-06,True,2.388472074909696e-15,1e-08,True,True,True,0,0
C_q0_mult3_nist,C,6,0,6,3,nist_reference,reference,True,True,1.758593271006248e-13,2e-06,True,2.294979543090759e-15,1e-08,True,True,True,0,0
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,True,True,2.877698079828406e-13,2e-06,True,2.4981333545313243e-15,1e-08,True,True,True,0,0
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,True,True,2.6645352591003757e-13,2e-06,True,2.6063915229786227e-15,1e-08,True,True,True,0,0
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,True,True,2.327027459614328e-13,2e-06,True,2.5724692731037893e-15,1e-08,True,True,True,0,0
N_q0_mult4_nist,N,7,0,7,4,nist_reference,reference,True,True,2.0161650127192843e-13,2e-06,True,1.6771663516618332e-15,1e-08,True,True,True,0,0
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,True,True,2.948752353404416e-13,2e-06,True,2.067960513616932e-15,1e-08,True,True,True,0,0
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,True,True,2.5934809855243657e-13,2e-06,True,2.027563014351292e-15,1e-08,True,True,True,0,0
O_q0_mult3_nist,O,8,0,8,3,nist_reference,reference,True,True,2.2737367544323206e-13,2e-06,True,1.9992867006816945e-15,1e-08,True,True,True,0,0
