state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,2.9615355787108704,3.9350325115535116,6.498136100961413,1.5671771375322203,2.0823295292765143,3.4386655379748556
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,3.0150365946177695,4.948008363363668,8.609531104117394,1.5954886559103103,2.6183732652495033,4.555967656859469
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,3.4691294622127877,4.343511778450221,6.5486178240556505,1.8357842530751871,2.298487448444617,3.4653793154034416
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,3.5079036981623144,4.421582236422651,11.748582085469984,1.8563026951098525,2.3398005556483876,6.217081900053957
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,3.5491025921316512,4.460046618734757,7.314796210611741,1.8781042109128347,2.3601550301994143,3.870823457055354
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,3.4012478151303838,4.217096398663746,11.565128827925887,1.799862832400619,2.231591310353967,6.120002616895702
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,3.4183186672603263,4.21929617087414,10.570167716507454,1.8088963383184795,2.2327553796768846,5.5934918709983465
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,3.4415402538499933,4.229451799622731,6.334844868414525,1.8211846727427419,2.2381295069730305,3.35225553897078
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,3.4128458269716027,5.862684954265465,10.081448953406825,1.806000235958775,3.1023992725011804,5.334873039024792
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,3.134322872493082,3.899930075860621,9.797117877032012,1.6586122357353683,2.0637541202606484,5.18441151305572
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,3.1471354183776645,3.8392122407248563,8.0511022758961,1.6653923430311384,2.031623625611436,4.260459847053494
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,3.3589472334502983,4.6195363724537755,8.117242136546315,1.7774783285675768,2.444553373240051,4.295459554041887
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,3.1533007475142414,3.858954330000126,5.933131268449645,1.6686548947079312,2.0420706893515215,3.1396778565595613
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,3.021467427966339,3.6331603327603084,5.164942423117246,1.5988917063654884,1.9225856516535151,2.7331698259397665
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,2.9537385611627816,5.00266632333318,8.800654684226242,1.5630511335327608,2.6472970120598176,4.657105899919264
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,3.6927956827672412,4.680625230963928,6.972971318266037,1.9541433198414082,2.4768802050037015,3.6899375139066364
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,3.945775188110747,5.014836329300623,11.952461403538484,2.088014308894705,2.653737101874342,6.324970188950251
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,3.998678029426652,5.076387948196607,8.081549598229103,2.1160092869111,2.686308815888283,4.276571876165137
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,4.003919346572823,4.9240040624447605,11.417889944951668,2.118782872499968,2.6056707362395595,6.042087155466931
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,4.028256071578313,4.94752062969431,7.194064113296387,2.1316613127608868,2.618115167706689,3.806934782531546
