state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,2.961535578712136,3.9350325115595877,6.498136100986781,1.56717713753289,2.0823295292797295,3.43866553798828
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,2.3324493790776324,2.902990554765594,4.127298794900754,1.2342790569927355,1.5361964450486094,2.1840724648488936
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,2.1480499361954357,2.535426694941099,3.3734247928496637,1.1366990741162677,1.3416900268779421,1.7851395230712155
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,3.015036594616773,4.948008363363195,8.609531104116922,1.595488655909783,2.6183732652492533,4.5559676568592185
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,2.699125736472463,4.168640315868254,6.469699452282698,1.4283158291030036,2.2059494556089634,3.4236175115396246
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,3.4691294622081457,4.343511778444057,6.548617824035856,1.8357842530727306,2.2984874484413553,3.465379315392967
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,3.362242057580965,4.129171062323085,5.68542871293999,1.779221874411459,2.1850632261015073,3.0085993091014167
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,3.507903698159546,4.421582236419665,11.748582085498812,1.8563026951083876,2.3398005556468076,6.217081900069212
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,3.549102592142612,4.460046618697261,7.31479620995518,1.8781042109186348,2.3601550301795724,3.870823456707917
B_q0_mult2_nist,B,5,0,5,2,nist_reference,reference,3.257075011825117,3.914944061458428,5.4013973057346965,1.7235698704594709,2.0716991792838337,2.8582963612276653
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,3.4012478151294974,4.217096398660794,11.565128827923122,1.7998628324001498,2.2315913103524045,6.120002616894238
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,3.418318667260747,4.219296170875267,10.570167716508921,1.808896338318702,2.232755379677481,5.593491870999123
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,3.4415402538504103,4.229451799623558,6.334844868417386,1.8211846727429626,2.238129506973468,3.3522555389722943
C_q0_mult3_nist,C,6,0,6,3,nist_reference,reference,3.0892863329462,3.648107671568628,4.894561726723169,1.6347799253492266,1.9304954427145238,2.590090523139938
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,3.412845804095612,5.862687120209192,10.08144916294252,1.8060002238533222,3.1024004186692413,5.334873149906306
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,3.1343228724929095,3.8999300758604245,9.797117877035364,1.658612235735277,2.0637541202605445,5.184411513057494
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,3.147135418377117,3.839212240722509,8.051102275847343,1.6653923430308486,2.031623625610194,4.260459847027692
N_q0_mult4_nist,N,7,0,7,4,nist_reference,reference,2.9088034825704905,3.390097596110678,4.452916382688864,1.5392725139715853,1.7939623905988136,2.3563818717755685
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,3.358947233451668,4.619536372466309,8.117242136559218,1.7774783285683016,2.4445533732466838,4.2954595540487155
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,3.153300747513269,3.8589543299980575,5.933131268441158,1.6686548947074165,2.042070689350427,3.1396778565550703
O_q0_mult3_nist,O,8,0,8,3,nist_reference,reference,2.8012923587606173,3.269223569313129,4.3363679914798805,1.4823800773328295,1.7299986102274718,2.294707119180367
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,3.0214674279674565,3.6331603327621473,5.164942423121424,1.5988917063660795,1.9225856516544884,2.7331698259419777
F_q0_mult2_nist,F,9,0,9,2,nist_reference,reference,2.6792038252571646,3.1060463260351154,4.054612391532185,1.4177736076902347,1.6436489317467724,2.145608476643744
Ne_q0_mult1_nist,Ne,10,0,10,1,nist_reference,reference,2.558439974149475,2.947643869691787,3.802963468728698,1.3538681297831625,1.5598259616988257,2.0124416015478506
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,2.9537385611629574,5.002666323333088,8.80065468422584,1.563051133532854,2.6472970120597688,4.657105899919052
Na_q0_mult2_nist,Na,11,0,11,2,nist_reference,reference,2.7677540464585904,4.256687276636529,6.68556311418088,1.464632366770449,2.252541900736805,3.5378476420782126
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,3.6927956827675277,4.6806252309642264,6.972971318267762,1.9541433198415596,2.476880205003859,3.689937513907549
Mg_q0_mult1_nist,Mg,12,0,12,1,nist_reference,reference,3.6280737104627034,4.531477000543683,6.29979784968728,1.9198939270531516,2.3979543604187983,3.3337094553502316
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,3.9457751881031955,5.0148363292925096,11.952461403621355,2.088014308890709,2.6537371018700484,6.324970188994104
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,3.998678029426668,5.07638794819665,8.08154959822926,2.1160092869111082,2.6863088158883057,4.27657187616522
Al_q0_mult2_nist,Al,13,0,13,2,nist_reference,reference,3.7374997016257185,4.5606660179513385,6.402021040197452,1.9777996678570924,2.4134005232395803,3.3878036381940104
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,4.003919346572172,4.924004062441361,11.417889944938045,2.118782872499624,2.6056707362377605,6.042087155459722
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,4.028256071578387,4.947520629694554,7.194064113297037,2.131661312760926,2.618115167706818,3.8069347825318895
Si_q0_mult3_nist,Si,14,0,14,3,nist_reference,reference,3.713837269478146,4.423299513694625,5.972933489247693,1.9652780480100582,2.3407092996455177,3.160740284749218
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,4.004261883589896,5.126573175973611,11.278986031996078,2.1189641352832944,2.71286569475185,5.96858237022558
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,3.866712965298242,4.739162629516686,10.661824571503649,2.046176382338992,2.5078568623033672,5.641994589885374
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,3.886498658027348,4.7181251798126915,7.140137530005126,2.0566465200331643,2.496724323344495,3.778398063591948
P_q0_mult4_nist,P,15,0,15,4,nist_reference,reference,3.596963372317182,4.209063520239386,5.526339410473056,1.9034310450830554,2.2273404941538413,2.9244128757374606
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,3.96872031341391,5.005380111466206,8.757300781260827,2.100156346306453,2.648733086895034,4.634164002466267
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,3.79458750617959,4.550869695711442,6.420040508033731,2.0080092330474857,2.408216532759565,3.3973391299255686
S_q0_mult3_nist,S,16,0,16,3,nist_reference,reference,3.495353728116267,4.070425910211686,5.325125669316745,1.849661536963969,2.153976630353125,2.817935149397006
Cl_qm1_mult1_ning2022,Cl,17,-1,18,1,ning2022_monoanion_reference,bound_experimental,3.6537572483140655,4.323985699420059,5.904867494120728,1.933485069979457,2.2881546924035643,3.1247213112905934
Cl_q0_mult2_nist,Cl,17,0,17,2,nist_reference,reference,3.3750182952208414,3.8997618303412867,5.033545579220057,1.7859827682115625,2.06366508856598,2.663637610564795
Ar_q0_mult1_nist,Ar,18,0,18,1,nist_reference,reference,3.248284728793364,3.7269329404207903,4.756692562720391,1.71891825300168,1.9722079786343902,2.51713330346342
K_qm1_mult1_ning2022,K,19,-1,20,1,ning2022_monoanion_reference,bound_experimental,3.212027991014503,5.031887077755103,9.496292501298546,1.6997320136274208,2.6627599693852924,5.025221579756238
K_q0_mult2_nist,K,19,0,19,2,nist_reference,reference,3.1749956507657484,4.433342441292837,7.425589599435407,1.6801353431013741,2.34602378806124,3.929452793539553
Ca_qm1_mult2_ning2022,Ca,20,-1,21,2,ning2022_monoanion_reference,bound_experimental,3.9772510345374394,5.3234106019403,8.032771085678403,2.1046706095175933,2.8170275748262283,4.25075939894156
Ca_q0_mult1_nist,Ca,20,0,20,1,nist_reference,reference,3.9055547884496877,5.103002796997477,7.205136787631603,2.066730589980662,2.7003927873453324,3.8127941894534922
Sc_qm1_mult1_ning2022,Sc,21,-1,22,1,ning2022_monoanion_reference,bound_experimental,4.059278595296718,5.181557800969049,7.63996549048789,2.1480777253373646,2.741962305249483,4.042895629651552
Sc_q0_mult2_nist,Sc,21,0,21,2,nist_reference,reference,3.9719495452555265,4.990826658521344,6.920163297353792,2.1018651822057586,2.641031731256664,3.6619927126869873
Ti_qm1_mult4_ning2022,Ti,22,-1,23,4,ning2022_monoanion_reference,bound_experimental,4.05155933888966,5.3282974683243465,8.321874053395296,2.1439928707616325,2.8196135931493935,4.403746101061766
Ti_q0_mult3_nist,Ti,22,0,22,3,nist_reference,reference,3.922475432662846,4.861717855839298,6.69568525314271,2.075684609292063,2.572710295150353,3.5432040473424062
V_qm1_mult5_ning2022,V,23,-1,24,5,ning2022_monoanion_reference,bound_experimental,3.9422930547617203,5.168656055033615,8.134616594763791,2.086171643281075,2.735134995319591,4.304653721382362
V_q0_mult4_nist,V,23,0,23,4,nist_reference,reference,3.8563967821197416,4.750443304864546,6.530376730342249,2.040717293297429,2.5138263386210498,3.4557265443083636
Cr_qm1_mult6_ning2022,Cr,24,-1,25,6,ning2022_monoanion_reference,bound_experimental,3.828690545672324,5.010552142655855,8.056806527325811,2.0260557843695657,2.651470007934676,4.2634784069153575
Cr_q0_mult7_nist,Cr,24,0,24,7,nist_reference,reference,3.549343209305691,4.381946405943311,6.157318229766469,1.8782315400378884,2.318826177423506,3.2583124874700173
Mn_qm1_mult5_formal,Mn,25,-1,26,5,formal_anion_reference,formal_monoanion,3.8267881551529848,4.8849964493350555,9.299716771365608,2.025049082660493,2.5850287963301826,4.921198183259104
Mn_q0_mult6_nist,Mn,25,0,25,6,nist_reference,reference,3.7302982395147026,4.574790343423085,6.293389946404664,1.9739888182227612,2.4208747943986055,3.3303185389634007
Fe_qm1_mult4_ning2022,Fe,26,-1,27,4,ning2022_monoanion_reference,bound_experimental,3.8745407336771276,4.990962538236326,8.137197722613521,2.0503186589773255,2.6411036357052566,4.306019595418866
Fe_q0_mult5_nist,Fe,26,0,26,5,nist_reference,reference,3.691937728511895,4.492099192789602,6.137101298665633,1.9536893100014816,2.3771165219400188,3.2476141482570586
Co_qm1_mult3_ning2022,Co,27,-1,28,3,ning2022_monoanion_reference,bound_experimental,3.8361950630395087,4.923847199230406,7.591683969056678,2.0300270039391055,2.605587727801294,4.01734614880243
Co_q0_mult4_nist,Co,27,0,27,4,nist_reference,reference,3.638201667588625,4.406806442041708,5.9995513071118705,1.925253411157192,2.3319815419890038,3.174825827366907
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,3.7714083883373863,4.832932863096901,7.441243392737029,1.9957433721165563,2.5574779329750683,3.9377364242189574
