state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,3.139284572167425,4.021915084719689,5.498057454769222,1.6612378541303754,2.1283058070206677,2.9094467092992233
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,3.061169759066814,5.035446508640255,8.677919100437359,1.6199012752035848,2.664643539093499,4.5921570260113125
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,3.7620123000429357,5.041588122491798,7.502011552875702,1.9907711763195006,2.667893541181902,3.9698935497128476
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,4.024918072933163,5.699618473124933,7.9008660407056315,2.1298949199478487,3.0161082068194673,4.180958255138834
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,3.6538873565666514,4.673318077580235,6.8826101340436106,1.9335539203016758,2.4730134259564784,3.6421204344659204
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,4.735159626249656,5.704773487964583,7.1280031891690525,2.5057385641992846,3.0188361231944767,3.771976846952168
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,4.116669722560857,5.1934776326280065,6.747969537666759,2.178447801993581,2.7482700085212035,3.570871699200902
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,3.4930371059450684,4.28792728859219,5.878440798207793,1.848435633304698,2.269073403132078,3.1107369060540044
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,4.343039520010694,5.045937385771056,6.176278888971458,2.2982375400407626,2.6701950721935024,3.2683460362249956
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,3.9191946586334563,4.678871018675198,5.890260581144759,2.0739484984415872,2.4759519158374195,3.116991665822067
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,3.376436294548427,4.089279220402621,5.389753831136795,1.7867331411407967,2.163953372456253,2.8521348998147276
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,3.6801770188285388,4.331213672576922,5.412237233347469,1.9474658104530034,2.291979571079195,2.8640326038881825
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,3.2151687574742156,3.830894280813975,4.981608601735213,1.7013940356626693,2.027221950785393,2.6361537456766335
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,3.0434163074416105,3.5760737700664107,4.586591495518259,1.6105065531886584,1.8923767436271193,2.4271196951497718
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,2.9806062498970394,5.021228541305152,8.960314850688741,1.5772689021205655,2.657119714794399,4.741594421500198
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,3.8767944930399456,5.260111767867177,8.584779961150334,2.051511297070988,2.783531274358001,4.542869916057498
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,4.337151702299674,6.155651559028227,8.86482190027391,2.29512184108614,3.2574305232972605,4.69106172833878
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,4.0837778734723065,5.275331231676169,7.82756784601818,2.1610421850314596,2.791585067767883,4.142170520909904
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,4.534149485324847,5.804681287737483,7.756967324506889,2.3993685784614756,3.0717050540257556,4.1048103338482615
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,4.078425959644084,5.010566619479867,6.895748108393891,2.1582100741988475,2.6514776687400294,3.649072751089517
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,4.871592301212494,5.81127540381741,7.275860880082997,2.5779356266121547,3.075194509981302,3.850219767440567
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,4.431973094591609,5.3849964191481465,6.935520323181759,2.3452991609931253,2.8496173858074583,3.670119300782396
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,3.9827986329734464,4.804305199918309,6.385827517222711,2.107606272185169,2.5423288260195505,3.379234394871543
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,4.241487141377178,5.09463492983559,6.535588093813726,2.2444983355549133,2.6959647027393983,3.458484279095202
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,3.835635063427086,4.568733308823803,6.0177736737535845,2.0297306649060967,2.4176695497230143,3.1844686885224216
Cl_qm1_mult1_ning2022,Cl,17,-1,18,1,ning2022_monoanion_reference,bound_experimental,3.6772653503097152,4.327006008371203,5.633148905737593,1.9459250218271382,2.289752971070396,2.9809340265395057
K_qm1_mult1_ning2022,K,19,-1,20,1,ning2022_monoanion_reference,bound_experimental,3.2233909340058577,5.113585330318837,9.591444858048531,1.7057450241072358,2.7059928228126178,5.075574038512042
Ca_qm1_mult2_ning2022,Ca,20,-1,21,2,ning2022_monoanion_reference,bound_experimental,4.043941226128587,5.649037951315022,9.47801378367471,2.1399615390983837,2.9893421473620805,5.015548898945172
Sc_qm1_mult1_ning2022,Sc,21,-1,22,1,ning2022_monoanion_reference,bound_experimental,4.178007497990517,5.547836447090531,9.21671409515163,2.210906354918443,2.935788617617376,4.877275058562707
Ti_qm1_mult4_ning2022,Ti,22,-1,23,4,ning2022_monoanion_reference,bound_experimental,4.067869351332406,5.439408197336188,8.182135523103998,2.152623757655878,2.8784108588292785,4.329799655346532
V_qm1_mult5_ning2022,V,23,-1,24,5,ning2022_monoanion_reference,bound_experimental,3.9795964426429626,5.292095499271997,8.055949150306201,2.1059117460373034,2.8004563361370742,4.263024702535428
Cr_qm1_mult6_ning2022,Cr,24,-1,25,6,ning2022_monoanion_reference,bound_experimental,3.891147593120827,5.189737214557523,7.966664986296116,2.0591066305396004,2.7462906645190537,4.215777557646765
Mn_qm1_mult5_formal,Mn,25,-1,26,5,formal_anion_reference,formal_monoanion,3.9610736309287047,5.297114844002564,7.7395439839329585,2.096109896196271,2.8031124589821568,4.095590299078736
Fe_qm1_mult4_ning2022,Fe,26,-1,27,4,ning2022_monoanion_reference,bound_experimental,3.9342658888993056,5.138464535491952,7.505656054570877,2.0819238500385464,2.7191583312156102,3.9718221369550313
Co_qm1_mult3_ning2022,Co,27,-1,28,3,ning2022_monoanion_reference,bound_experimental,3.8730577702151123,5.013434196917234,7.340210131640641,2.049533908508625,2.652995125370383,3.884271924903537
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,3.8117232432173496,4.9237891688292645,7.251667340691421,2.0170770745798943,2.6055570194354707,3.837417097743461
Cu_qm1_mult1_ning2022,Cu,29,-1,30,1,ning2022_monoanion_reference,bound_experimental,3.7352082185870965,4.828981668653043,7.3184644454137695,1.9765870672538828,2.5553870509195318,3.872764603316829
Zn_qm1_mult2_formal,Zn,30,-1,31,2,formal_anion_reference,formal_monoanion,3.734579254714891,4.990045566891811,8.163135555240673,1.9762542339062303,2.6406183953666877,4.319745305345371
Ga_qm2_mult4_formal,Ga,31,-2,33,4,formal_anion_reference,formal_multianion,4.4626808969959,6.003061406526925,8.401622437684138,2.3615490302223887,3.1766832919853583,4.4459471286337555
