state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,r_iso_0.003_e_bohr3_bohr,r_iso_0.001_e_bohr3_bohr,r_iso_0.0001_e_bohr3_bohr,r_iso_0.003_e_bohr3_angstrom,r_iso_0.001_e_bohr3_angstrom,r_iso_0.0001_e_bohr3_angstrom
H_qm1_mult1_ning2022,H,1,-1,2,1,ning2022_monoanion_reference,bound_experimental,3.1392845721674276,4.021915084719694,5.498057454769226,1.661237854130377,2.1283058070206704,2.909446709299226
H_q0_mult2_nist,H,1,0,1,2,nist_reference,reference,2.332257881737493,2.9063956637618777,4.122293783126428,1.2341777209643854,1.5379983511300837,2.181423926677619
He_q0_mult1_nist,He,2,0,2,1,nist_reference,reference,2.150687152806833,2.536914978758816,3.3633750121746178,1.138094629047234,1.3424775927576338,1.7798214081634078
Li_qm1_mult1_ning2022,Li,3,-1,4,1,ning2022_monoanion_reference,bound_experimental,3.0611697590668214,5.035446508640257,8.67791910043735,1.6199012752035888,2.6646435390935004,4.592157026011307
Li_q0_mult2_nist,Li,3,0,3,2,nist_reference,reference,2.6897203986836447,4.161905541253406,6.485316202513008,1.4233387386843162,2.2023855663622176,3.431881539869869
Be_qm1_mult2_formal,Be,4,-1,5,2,formal_anion_reference,formal_monoanion,3.7620123000429366,5.041588122491765,7.502011552875647,1.990771176319501,2.6678935411818845,3.9698935497128187
Be_q0_mult1_nist,Be,4,0,4,1,nist_reference,reference,3.362847929615464,4.136827483664199,5.67871773489377,1.7795424880848392,2.189114829792296,3.0050480124564865
B_qm2_mult4_formal,B,5,-2,7,4,formal_anion_reference,formal_multianion,4.024918072933508,5.699618473125894,7.9008660407063385,2.129894919948031,3.016108206819976,4.180958255139208
B_qm1_mult3_ning2022,B,5,-1,6,3,ning2022_monoanion_reference,bound_experimental,3.6538873565693004,4.6733180775879894,6.882610134055774,1.9335539203030776,2.473013425960582,3.6421204344723574
B_q0_mult2_nist,B,5,0,5,2,nist_reference,reference,3.2592930388982335,3.91499538276944,5.404759848241159,1.7247435998397302,2.071726337352055,2.860075742092778
C_qm3_mult2_formal,C,6,-3,9,2,formal_anion_reference,formal_multianion,4.735159626249401,5.704773487964383,7.128003189168904,2.5057385641991496,3.018836123194371,3.7719768469520893
C_qm2_mult3_formal,C,6,-2,8,3,formal_anion_reference,formal_multianion,4.1166697225610385,5.193477632628173,6.747969537666885,2.178447801993677,2.7482700085212914,3.570871699200968
C_qm1_mult4_ning2022,C,6,-1,7,4,ning2022_monoanion_reference,bound_experimental,3.4930371059450627,4.287927288592186,5.878440798207795,1.848435633304695,2.2690734031320763,3.1107369060540058
C_q0_mult3_nist,C,6,0,6,3,nist_reference,reference,3.0889069776836076,3.6491118237387634,4.890614146552277,1.6345791791894266,1.9310268171592384,2.5880015536752894
N_qm3_mult1_formal,N,7,-3,10,1,formal_anion_reference,formal_multianion,4.343039520011069,5.045937385771371,6.176278888971706,2.298237540040961,2.670195072193669,3.2683460362251266
N_qm2_mult2_formal,N,7,-2,9,2,formal_anion_reference,formal_multianion,3.919194658633399,4.678871018675146,5.890260581144716,2.073948498441557,2.475951915837392,3.1169916658220447
N_qm1_mult3_formal,N,7,-1,8,3,formal_anion_reference,formal_monoanion,3.376436294548393,4.089279220402576,5.389753831136749,1.7867331411407785,2.163953372456229,2.8521348998147036
N_q0_mult4_nist,N,7,0,7,4,nist_reference,reference,2.9091574459342966,3.3928424595574396,4.440049788033885,1.5394598233172059,1.7954149097818803,2.3495731631022276
O_qm2_mult1_formal,O,8,-2,10,1,formal_anion_reference,formal_multianion,3.68017701882862,4.331213672576998,5.412237233347531,1.9474658104530462,2.291979571079235,2.8640326038882153
O_qm1_mult2_ning2022,O,8,-1,9,2,ning2022_monoanion_reference,bound_experimental,3.2151687574742183,3.830894280813978,4.981608601735217,1.7013940356626707,2.027221950785395,2.6361537456766357
O_q0_mult3_nist,O,8,0,8,3,nist_reference,reference,2.8048021449883374,3.272847341347363,4.299517378053268,1.48423737621968,1.7319162278054963,2.2752066143472076
F_qm1_mult1_ning2022,F,9,-1,10,1,ning2022_monoanion_reference,bound_experimental,3.043416307441595,3.5760737700663907,4.586591495518239,1.6105065531886502,1.8923767436271086,2.427119695149761
F_q0_mult2_nist,F,9,0,9,2,nist_reference,reference,2.6830454898891705,3.1060201092185693,4.032790475445061,1.4198065290654245,1.6436350584049138,2.1340608159522008
Ne_q0_mult1_nist,Ne,10,0,10,1,nist_reference,reference,2.5604940751071523,2.9487262895987514,3.793448354403721,1.3549551131988593,1.560398753646219,2.007406419887936
Na_qm1_mult1_ning2022,Na,11,-1,12,1,ning2022_monoanion_reference,bound_experimental,2.9806062498970927,5.021228541305232,8.960314850688535,1.5772689021205937,2.6571197147944416,4.741594421500089
Na_q0_mult2_nist,Na,11,0,11,2,nist_reference,reference,2.7712624268469113,4.243293321713042,6.699553535846729,1.4664889217191275,2.245454125027434,3.5452510543947033
Mg_qm1_mult2_formal,Mg,12,-1,13,2,formal_anion_reference,formal_monoanion,3.8767944930399034,5.260111767867142,8.584779961150318,2.0515112970709657,2.7835312743579825,4.54286991605749
Mg_q0_mult1_nist,Mg,12,0,12,1,nist_reference,reference,3.622591972556907,4.5410997487458715,6.303065645414019,1.9169931162772609,2.4030464994736542,3.335438698378708
Al_qm2_mult4_formal,Al,13,-2,15,4,formal_anion_reference,formal_multianion,4.3371517022996455,6.155651559028201,8.864821900273903,2.2951218410861247,3.257430523297247,4.691061728338775
Al_qm1_mult3_ning2022,Al,13,-1,14,3,ning2022_monoanion_reference,bound_experimental,4.083777873472297,5.275331231676178,7.82756784601824,2.1610421850314543,2.7915850677678877,4.142170520909935
Al_q0_mult2_nist,Al,13,0,13,2,nist_reference,reference,3.739207004816783,4.57076696034868,6.39431492464591,1.9787031337979055,2.418745711764897,3.3837257374595486
Si_qm2_mult3_formal,Si,14,-2,16,3,formal_anion_reference,formal_multianion,4.5341494853244555,5.804681287736907,7.756967324506407,2.399368578461268,3.0717050540254505,4.104810333848007
Si_qm1_mult4_ning2022,Si,14,-1,15,4,ning2022_monoanion_reference,bound_experimental,4.078425959644189,5.0105666194800715,6.895748108394195,2.158210074198903,2.6514776687401374,3.649072751089678
Si_q0_mult3_nist,Si,14,0,14,3,nist_reference,reference,3.7182359894713746,4.432537582651098,5.953932188832827,1.9676057503876183,2.3455978752100335,3.150685229592149
P_qm3_mult1_formal,P,15,-3,18,1,formal_anion_reference,formal_multianion,4.871592301211988,5.811275403816946,7.275860880082632,2.5779356266118874,3.0751945099810563,3.850219767440374
P_qm2_mult2_formal,P,15,-2,17,2,formal_anion_reference,formal_multianion,4.4319730945913705,5.384996419147883,6.935520323181539,2.345299160992999,2.849617385807319,3.6701193007822797
P_qm1_mult3_ning2022,P,15,-1,16,3,ning2022_monoanion_reference,bound_experimental,3.982798632973526,4.804305199918436,6.3858275172228565,2.1076062721852113,2.5423288260196175,3.37923439487162
P_q0_mult4_nist,P,15,0,15,4,nist_reference,reference,3.6020569287495183,4.212863533430304,5.511418762261976,1.906126439069496,2.2293513745356055,2.9165172087322566
S_qm2_mult1_formal,S,16,-2,18,1,formal_anion_reference,formal_multianion,4.241487141377245,5.094634929835658,6.535588093813782,2.244498335554949,2.6959647027394347,3.4584842790952313
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,3.8356350634270946,4.568733308823825,6.017773673753614,2.029730664906101,2.4176695497230263,3.184468688522437
S_q0_mult3_nist,S,16,0,16,3,nist_reference,reference,3.4990085006226495,4.0726760791984615,5.311533355029168,1.8515955592853814,2.155167368501607,2.8107424064325888
Cl_qm1_mult1_ning2022,Cl,17,-1,18,1,ning2022_monoanion_reference,bound_experimental,3.677265350309764,4.327006008371266,5.633148905737665,1.945925021827164,2.2897529710704294,2.9809340265395434
Cl_q0_mult2_nist,Cl,17,0,17,2,nist_reference,reference,3.3771575308149417,3.900609910573113,5.027965871360262,1.787114802936713,2.0641138732976803,2.6606849563218953
Ar_q0_mult1_nist,Ar,18,0,18,1,nist_reference,reference,3.250063080227908,3.72708176407058,4.753671946975067,1.7198593160538171,1.9722867327183022,2.5155348624480993
K_qm1_mult1_ning2022,K,19,-1,20,1,ning2022_monoanion_reference,bound_experimental,3.223390934005932,5.113585330318945,9.591444858048416,1.7057450241072751,2.705992822812675,5.075574038511981
K_q0_mult2_nist,K,19,0,19,2,nist_reference,reference,3.170472687943016,4.4152636625919675,7.457217637359304,1.6777418942498226,2.3364569103717816,3.9461896304344557
Ca_qm1_mult2_ning2022,Ca,20,-1,21,2,ning2022_monoanion_reference,bound_experimental,4.043941226128565,5.649037951314916,9.478013783675037,2.1399615390983717,2.989342147362024,5.015548898945346
Ca_q0_mult1_nist,Ca,20,0,20,1,nist_reference,reference,3.894173365498859,5.103701809581105,7.223214516935324,2.060707800327435,2.700762688874723,3.822360511825895
Sc_qm1_mult1_ning2022,Sc,21,-1,22,1,ning2022_monoanion_reference,bound_experimental,4.1780074979906106,5.547836447091401,9.216714095155092,2.2109063549184924,2.935788617617836,4.877275058564539
Sc_q0_mult2_nist,Sc,21,0,21,2,nist_reference,reference,3.9666724175270662,4.995440039634096,6.927233397724702,2.099072646472833,2.643473027406743,3.66573404868207
Ti_qm1_mult4_ning2022,Ti,22,-1,23,4,ning2022_monoanion_reference,bound_experimental,4.067869351335044,5.439408197342473,8.182135523111448,2.152623757657274,2.8784108588326047,4.329799655350475
Ti_q0_mult3_nist,Ti,22,0,22,3,nist_reference,reference,3.919712044854568,4.865378910459512,6.700109626042272,2.074222287439035,2.5746476418232414,3.5455453246533915
V_qm1_mult5_ning2022,V,23,-1,24,5,ning2022_monoanion_reference,bound_experimental,3.979596442643466,5.2920954992730085,8.055949150307432,2.10591174603757,2.80045633613761,4.26302470253608
V_q0_mult4_nist,V,23,0,23,4,nist_reference,reference,3.8539146570620213,4.754660488557864,6.533402791934668,2.039403809282272,2.5160579761257456,3.4573278671418604
Cr_qm1_mult6_ning2022,Cr,24,-1,25,6,ning2022_monoanion_reference,bound_experimental,3.891147593120753,5.189737214557379,7.966664986295831,2.0591066305395613,2.7462906645189777,4.215777557646614
Cr_q0_mult7_nist,Cr,24,0,24,7,nist_reference,reference,3.5451008876437804,4.391723868358356,6.146085432117261,1.8759866000930852,2.3240001877140086,3.2523683469393716
Mn_qm1_mult5_formal,Mn,25,-1,26,5,formal_anion_reference,formal_monoanion,3.9610736308547168,5.297114843791794,7.739543983733954,2.096109896157118,2.803112458870622,4.095590298973427
Mn_q0_mult6_nist,Mn,25,0,25,6,nist_reference,reference,3.7278192218807824,4.57619001518428,6.2963200002605975,1.972676978585464,2.4216154687973743,3.331869056690679
Fe_qm1_mult4_ning2022,Fe,26,-1,27,4,ning2022_monoanion_reference,bound_experimental,3.9342658889171473,5.138464535527183,7.505656054605502,2.0819238500479877,2.719158331234254,3.971822136973354
Fe_q0_mult5_nist,Fe,26,0,26,5,nist_reference,reference,3.690258741044338,4.493779499915091,6.135903083515529,1.9528008280962588,2.3780057021781458,3.246980080105865
Co_qm1_mult3_ning2022,Co,27,-1,28,3,ning2022_monoanion_reference,bound_experimental,3.8730577702127733,5.013434196913656,7.340210131637336,2.0495339085073874,2.65299512536849,3.8842719249017876
Co_q0_mult4_nist,Co,27,0,27,4,nist_reference,reference,3.637145625165116,4.4083089115995975,5.996314123782661,1.9246945775729243,2.3327766146391142,3.173112783721575
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,3.81172324321719,4.923789168829451,7.25166734069236,2.01707707457981,2.6055570194355693,3.8374170977439577
Ni_q0_mult3_nist,Ni,28,0,28,3,nist_reference,reference,3.585321197516211,4.332764373574733,5.8848783238497555,1.8972702714930323,2.292800166708161,3.114143497918335
Cu_qm1_mult1_ning2022,Cu,29,-1,30,1,ning2022_monoanion_reference,bound_experimental,3.7352082185856643,4.828981668651593,7.318464445413104,1.976587067253125,2.555387050918765,3.872764603316477
Cu_q0_mult2_nist,Cu,29,0,29,2,nist_reference,reference,3.344926295106128,4.081830016987668,5.677346133759742,1.7700587675203658,2.1600114237696793,3.0043221923939103
