element,charge
H,0
He,0
Li,0
Be,0
B,0
C,0
N,0
O,0
F,0
Ne,0
Na,0
Mg,0
Al,0
Si,0
P,0
S,0
Cl,0
Ar,0
K,0
Ca,0
Sc,0
Ti,0
V,0
Cr,0
Mn,0
Fe,0
Co,0
Ni,0
Cu,0
Zn,0
Ga,0
Ge,0
As,0
Se,0
Br,0
Kr,0
Rb,0
Sr,0
Y,0
Zr,0
Nb,0
Mo,0
Tc,0
Ru,0
Rh,0
Pd,0
Ag,0
Cd,0
In,0
Sn,0
Sb,0
Te,0
I,0
Xe,0
Cs,0
Ba,0
La,0
Ce,0
Pr,0
Nd,0
Pm,0
Sm,0
Eu,0
Gd,0
Tb,0
Dy,0
Ho,0
Er,0
Tm,0
Yb,0
Lu,0
Hf,0
Ta,0
W,0
Re,0
Os,0
Ir,0
Pt,0
Au,0
Hg,0
Tl,0
Pb,0
Bi,0
Po,0
At,0
Rn,0
Fr,0
Ra,0
Ac,0
Th,0
Pa,0
U,0
Np,0
Pu,0
Am,0
Cm,0
Bk,0
Cf,0
Es,0
Fm,0
Md,0
No,0
Lr,0
Li,1
Na,1
K,1
Rb,1
Cs,1
Fr,1
Be,2
Mg,2
Ca,2
Sr,2
Ba,2
Ra,2
Sc,3
Y,3
Ti,2
Ti,3
V,2
V,3
Cr,2
Cr,3
Mn,2
Mn,3
Fe,2
Fe,3
Co,2
Co,3
Ni,2
Cu,1
Cu,2
Zn,2
Ag,1
Cd,2
Hg,2
Tl,1
Sn,2
Pb,2
La,3
Ce,3
Pr,3
Nd,3
Pm,3
Sm,3
Eu,3
Gd,3
Tb,3
Dy,3
Ho,3
Er,3
Tm,3
Yb,3
Lu,3
Sm,2
Eu,2
Yb,2
Ce,4
Pr,4
Tb,4
N,-3
O,-2
F,-1
P,-3
S,-2
Cl,-1
As,-3
Se,-2
Br,-1
Sb,-3
Te,-2
I,-1
Bi,-3
