z,symbol,charge,electron_count,state_source,source_table,state_role,physical_status,include_reason
1,H,-1,2,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
1,H,0,1,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
2,He,0,2,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
2,He,1,1,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
3,Li,-1,4,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
3,Li,0,3,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
3,Li,1,2,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
4,Be,-1,5,formal_rule,curated/formal_atoms_ions.csv,formal_monoanion,not_claimed,review_unbound_but_required_by_policy
4,Be,0,4,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
4,Be,1,3,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
4,Be,2,2,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
5,B,-2,7,formal_rule,curated/formal_atoms_ions.csv,formal_multianion,not_claimed,p_block_formal_dianion_policy
5,B,-1,6,ning2022,source/ning2022/ning2022_monoanions.csv,bound_experimental,experimental_or_evaluated,accepted_physical_or_provisional_monoanion
5,B,0,5,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
