z,symbol,charge,electron_count,configuration,state_category
7,N,-3,10,[He] 2s2 2p6,formal_crystal_ion_reference
8,O,-2,10,[He] 2s2 2p6,formal_crystal_ion_reference
9,F,-1,10,[He] 2s2 2p6,curated_common_ion
15,P,-3,18,[Ne] 3s2 3p6,formal_crystal_ion_reference
16,S,-2,18,[Ne] 3s2 3p6,formal_crystal_ion_reference
17,Cl,-1,18,[Ne] 3s2 3p6,curated_common_ion
33,As,-3,36,[Ar] 3d10 4s2 4p6,formal_crystal_ion_reference
34,Se,-2,36,[Ar] 3d10 4s2 4p6,formal_crystal_ion_reference
35,Br,-1,36,[Ar] 3d10 4s2 4p6,curated_common_ion
51,Sb,-3,54,[Kr] 4d10 5s2 5p6,formal_crystal_ion_reference
52,Te,-2,54,[Kr] 4d10 5s2 5p6,formal_crystal_ion_reference
53,I,-1,54,[Kr] 4d10 5s2 5p6,curated_common_ion
83,Bi,-3,86,[Xe] 4f14 5d10 6s2 6p6,formal_crystal_ion_reference
