z,symbol,charge,electron_count,configuration,ground_level,review_reason
39,Y,32,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
40,Zr,33,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
41,Nb,34,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
42,Mo,35,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
43,Tc,36,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
44,Ru,37,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
45,Rh,38,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
46,Pd,39,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
47,Ag,40,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
48,Cd,41,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
49,In,42,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
50,Sn,43,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
51,Sb,44,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
52,Te,45,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
53,I,46,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
54,Xe,28,26,[Ar] 3d8,"(0,4)4",not_simple_ls_term
54,Xe,47,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
55,Cs,29,26,[Ar] 3d8,"(0,4)4",not_simple_ls_term
55,Cs,47,8,1s2 2s2 2p4,"(0,2)2",not_simple_ls_term
55,Cs,48,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
56,Ba,30,26,[Ar] 3d8,"(0,4)4",not_simple_ls_term
56,Ba,48,8,1s2 2s2 2p4,"(0,2)2",not_simple_ls_term
56,Ba,49,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
57,La,33,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
57,La,34,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
57,La,50,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
58,Ce,34,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
58,Ce,35,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
58,Ce,51,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
59,Pr,1,58,[Xe] 4f3 6s1,"(9/2,1/2)°4",not_simple_ls_term
59,Pr,6,53,[Cd] 4f1 5p4,°,not_simple_ls_term
59,Pr,8,51,[Cd] 4f1 5p2,°,not_simple_ls_term
59,Pr,35,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
59,Pr,36,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
59,Pr,52,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
60,Nd,5,55,[Cd] 4f2 5p5,°,not_simple_ls_term
60,Nd,7,53,[Cd] 4f2 5p3,°,not_simple_ls_term
60,Nd,9,51,[Cd] 4f2 5p1,°,not_simple_ls_term
60,Nd,36,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
60,Nd,37,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
60,Nd,53,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
61,Pm,6,55,[Cd] 4f3 5p4,°,not_simple_ls_term
61,Pm,8,53,[Cd] 4f3 5p2,°,not_simple_ls_term
61,Pm,10,51,[Cd] 4f3,°,not_simple_ls_term
61,Pm,37,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
61,Pm,38,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
61,Pm,54,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
62,Sm,7,55,[Cd] 4f4 5p3,°,not_simple_ls_term
62,Sm,9,53,[Cd] 4f4 5p1,°,not_simple_ls_term
62,Sm,11,51,[Cd] 4f3,°,not_simple_ls_term
62,Sm,38,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
62,Sm,39,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
62,Sm,55,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
63,Eu,6,57,[Cd] 4f5 5p4,°,not_simple_ls_term
63,Eu,8,55,[Cd] 4f5 5p2,°,not_simple_ls_term
63,Eu,10,53,[Cd] 4f5,°,not_simple_ls_term
63,Eu,12,51,[Cd] 4f3,°,not_simple_ls_term
63,Eu,39,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
63,Eu,40,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
63,Eu,56,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
64,Gd,5,59,[Cd] 4f6 5p5,°,not_simple_ls_term
64,Gd,7,57,[Cd] 4f6 5p3,°,not_simple_ls_term
64,Gd,9,55,[Cd] 4f5 5p2,°,not_simple_ls_term
64,Gd,11,53,[Cd] 4f5,°,not_simple_ls_term
64,Gd,40,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
64,Gd,41,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
64,Gd,57,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
65,Tb,1,64,[Xe] 4f9 6s1,"(15/2,1/2)°8",not_simple_ls_term
65,Tb,6,59,[Cd] 4f8 5p3,°,not_simple_ls_term
65,Tb,8,57,[Cd] 4f7 5p2,°,not_simple_ls_term
65,Tb,10,55,[Cd] 4f6 5p1,°,not_simple_ls_term
65,Tb,12,53,[Cd] 4f5,°,not_simple_ls_term
65,Tb,41,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
65,Tb,42,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
65,Tb,58,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
66,Dy,1,65,[Xe] 4f10 6s1,"(8,1/2)17/2",not_simple_ls_term
66,Dy,5,61,[Cd] 4f8 5p5,°,not_simple_ls_term
66,Dy,7,59,[Cd] 4f9 5p2,°,not_simple_ls_term
66,Dy,9,57,[Cd] 4f8 5p1,°,not_simple_ls_term
66,Dy,11,55,[Cd] 4f7,°,not_simple_ls_term
66,Dy,42,24,[Ar] 3d6,"(0,4)4",not_simple_ls_term
66,Dy,43,23,[Ar] 3d5,"(0,5/2)5/2",not_simple_ls_term
66,Dy,59,7,1s2 2s2 2p3,"(0,3/2)°3/2",not_simple_ls_term
