z,symbol,charge,electron_count,configuration
1,H,0,1,1s1
2,He,0,2,1s2
2,He,1,1,1s1
3,Li,0,3,1s2 2s1
3,Li,1,2,1s2
3,Li,2,1,1s1
4,Be,0,4,1s2 2s2
4,Be,1,3,1s2 2s1
4,Be,2,2,1s2
4,Be,3,1,1s1
5,B,0,5,1s2 2s2 2p1
5,B,1,4,1s2 2s2
5,B,2,3,1s2 2s1
5,B,3,2,1s2
5,B,4,1,1s1
6,C,0,6,1s2 2s2 2p2
6,C,1,5,1s2 2s2 2p1
6,C,2,4,1s2 2s2
6,C,3,3,1s2 2s1
6,C,4,2,1s2
6,C,5,1,1s1
7,N,0,7,1s2 2s2 2p3
7,N,1,6,1s2 2s2 2p2
7,N,2,5,1s2 2s2 2p1
7,N,3,4,1s2 2s2
7,N,4,3,1s2 2s1
7,N,5,2,1s2
7,N,6,1,1s1
8,O,0,8,1s2 2s2 2p4
8,O,1,7,1s2 2s2 2p3
8,O,2,6,1s2 2s2 2p2
8,O,3,5,1s2 2s2 2p1
8,O,4,4,1s2 2s2
8,O,5,3,1s2 2s1
8,O,6,2,1s2
8,O,7,1,1s1
9,F,0,9,1s2 2s2 2p5
9,F,1,8,1s2 2s2 2p4
9,F,2,7,1s2 2s2 2p3
9,F,3,6,1s2 2s2 2p2
9,F,4,5,1s2 2s2 2p1
9,F,5,4,1s2 2s2
9,F,6,3,1s2 2s1
9,F,7,2,1s2
9,F,8,1,1s1
10,Ne,0,10,1s2 2s2 2p6
10,Ne,1,9,1s2 2s2 2p5
10,Ne,2,8,1s2 2s2 2p4
10,Ne,3,7,1s2 2s2 2p3
10,Ne,4,6,1s2 2s2 2p2
10,Ne,5,5,1s2 2s2 2p1
10,Ne,6,4,1s2 2s2
10,Ne,7,3,1s2 2s1
10,Ne,8,2,1s2
10,Ne,9,1,1s1
11,Na,0,11,[Ne] 3s1
11,Na,1,10,1s2 2s2 2p6
11,Na,2,9,1s2 2s2 2p5
11,Na,3,8,1s2 2s2 2p4
11,Na,4,7,1s2 2s2 2p3
11,Na,5,6,1s2 2s2 2p2
11,Na,6,5,1s2 2s2 2p1
11,Na,7,4,1s2 2s2
11,Na,8,3,1s2 2s1
11,Na,9,2,1s2
11,Na,10,1,1s1
12,Mg,0,12,[Ne] 3s2
12,Mg,1,11,[Ne] 3s1
12,Mg,2,10,1s2 2s2 2p6
12,Mg,3,9,1s2 2s2 2p5
12,Mg,4,8,1s2 2s2 2p4
12,Mg,5,7,1s2 2s2 2p3
12,Mg,6,6,1s2 2s2 2p2
12,Mg,7,5,1s2 2s2 2p1
12,Mg,8,4,1s2 2s2
12,Mg,9,3,1s2 2s1
12,Mg,10,2,1s2
12,Mg,11,1,1s1
13,Al,0,13,[Ne] 3s2 3p1
13,Al,1,12,[Ne] 3s2
13,Al,2,11,[Ne] 3s1
13,Al,3,10,1s2 2s2 2p6
13,Al,4,9,1s2 2s2 2p5
13,Al,5,8,1s2 2s2 2p4
13,Al,6,7,1s2 2s2 2p3
13,Al,7,6,1s2 2s2 2p2
13,Al,8,5,1s2 2s2 2p1
13,Al,9,4,1s2 2s2
13,Al,10,3,1s2 2s1
13,Al,11,2,1s2
13,Al,12,1,1s1
14,Si,0,14,[Ne] 3s2 3p2
14,Si,1,13,[Ne] 3s2 3p1
14,Si,2,12,[Ne] 3s2
14,Si,3,11,[Ne] 3s1
14,Si,4,10,1s2 2s2 2p6
14,Si,5,9,1s2 2s2 2p5
14,Si,6,8,1s2 2s2 2p4
14,Si,7,7,1s2 2s2 2p3
14,Si,8,6,1s2 2s2 2p2
14,Si,9,5,1s2 2s2 2p1
14,Si,10,4,1s2 2s2
14,Si,11,3,1s2 2s1
14,Si,12,2,1s2
14,Si,13,1,1s1
15,P,0,15,[Ne] 3s2 3p3
15,P,1,14,[Ne] 3s2 3p2
15,P,2,13,[Ne] 3s2 3p1
15,P,3,12,[Ne] 3s2
15,P,4,11,[Ne] 3s1
15,P,5,10,1s2 2s2 2p6
15,P,6,9,1s2 2s2 2p5
15,P,7,8,1s2 2s2 2p4
15,P,8,7,1s2 2s2 2p3
15,P,9,6,1s2 2s2 2p2
15,P,10,5,1s2 2s2 2p1
15,P,11,4,1s2 2s2
15,P,12,3,1s2 2s1
15,P,13,2,1s2
15,P,14,1,1s1
16,S,0,16,[Ne] 3s2 3p4
16,S,1,15,[Ne] 3s2 3p3
16,S,2,14,[Ne] 3s2 3p2
16,S,3,13,[Ne] 3s2 3p1
16,S,4,12,[Ne] 3s2
16,S,5,11,[Ne] 3s1
16,S,6,10,1s2 2s2 2p6
16,S,7,9,1s2 2s2 2p5
16,S,8,8,1s2 2s2 2p4
16,S,9,7,1s2 2s2 2p3
16,S,10,6,1s2 2s2 2p2
16,S,11,5,1s2 2s2 2p1
16,S,12,4,1s2 2s2
16,S,13,3,1s2 2s1
16,S,14,2,1s2
16,S,15,1,1s1
17,Cl,0,17,[Ne] 3s2 3p5
