r_bohr,rho_e_bohr3__Ni_qm1_mult2_ning2022,rho_e_bohr3__Ni_q0_mult3_nist,rho_e_bohr3__Ni_qp1_mult2_nist,rho_e_bohr3__Pd_qm1_mult2_ning2022,rho_e_bohr3__Pd_q0_mult1_nist,rho_e_bohr3__Pd_qp1_mult2_nist
1.0000000000000004e-06,26129.735898733485,26140.353668356554,26119.407105118269,311809.64034675289,311789.63773340848,311792.96533790231
1.0150494464681606e-06,26129.735568696,26140.353338184781,26119.406775211442,311809.49607532588,311789.4934712628,311792.82107421197
1.0303253787753168e-06,26129.735228649995,26140.352998000453,26119.406435300043,311809.34742902359,311789.3448345231,311792.67243588058
1.0458312054079828e-06,26129.734878292016,26140.352647499931,26119.406085080765,311809.19427518966,311789.19169054157,311792.51929025922
1.0615703861485017e-06,26129.734517309324,26140.352286370369,26119.405724240969,311809.03647714487,311789.03390264831,311792.36150067614
1.0775464328470257e-06,26129.734145379727,26140.351914289433,26119.405352458591,311808.87389406608,311788.87133002921,311792.19892631622
1.0937629102051138e-06,26129.733762171221,26140.351530925014,26119.40496940181,311808.70638086181,311788.70382760093,311792.03142209456
1.1102234365711046e-06,26129.733367341796,26140.351135934969,26119.404574728669,311808.53378803993,311788.53124588251,311791.85883852764
1.1269316847474762e-06,26129.732960539066,26140.350728966729,26119.404168086978,311808.35596157645,311788.35343085899,311791.68102160038
1.1438913828103569e-06,26129.732541399906,26140.350309657057,26119.403749113757,311808.17274277867,311788.17022384785,311791.49781262729
1.1611063149413509e-06,26129.732109550241,26140.349877631685,26119.403317435033,311807.98396814038,311787.98146135389,311791.3090481119
1.1785803222719014e-06,26129.731664604595,26140.349432505009,26119.402872665531,311807.78946920054,311787.7869749266,311791.11455960193
1.1963173037403592e-06,26129.731206165823,26140.348973879743,26119.402414408236,311807.58907238953,311787.58659100742,311790.91417353717
1.2143212169619334e-06,26129.730733824796,26140.348501346511,26119.401942254179,311807.38259887556,311787.38013077632,311790.70771109522
1.2325960791117509e-06,26129.730247159867,26140.348014483599,26119.401455781892,311807.169864405,311787.1674099915,311790.49498803238
1.2511459678212071e-06,26129.729745736673,26140.347512856402,26119.400954557215,311806.95067913929,311786.94823882659,311790.27581452031
1.2699750220877869e-06,26129.729229107666,26140.346996017222,26119.40043813274,311806.72484748345,311786.72242169885,311790.04999497451
1.2890874431985951e-06,26129.728696811762,26140.346463504753,26119.399906047547,311806.49216791289,311786.48975709686,311789.81732788158
1.3084874956677897e-06,26129.728148373819,26140.345914843681,26119.399357826725,311806.25243279419,311786.25003740098,311789.57760561822
1.328179508188099e-06,26129.72758330436,26140.345349544317,26119.398792980945,311806.00542819884,311786.00304869568,311789.33061426796
1.348167874596683e-06,26129.727001098989,26140.344767102091,26119.398211006053,311805.75093371235,311785.7485705812,311789.07613342896
1.3684570548555166e-06,26129.726401238095,26140.344166997129,26119.397611382617,311805.48872223962,311785.4863759774,311788.81393601728
1.3890515760465407e-06,26129.725783186241,26140.34354869384,26119.396993575443,311805.21855980053,311785.21623091795,311788.54378806509
1.4099560333817666e-06,26129.725146391815,26140.342911640328,26119.396357033082,311804.94020532124,311784.93789434596,311788.26544851251
1.4311750912286022e-06,26129.72449028644,26140.342255268009,26119.395701187452,311804.65341042134,311784.65111789596,311787.97866899148
1.4527134841506112e-06,26129.72381428448,26140.341578991003,26119.39502545309,311804.35791918921,311784.35564567335,311787.68319360499
1.4745760179639101e-06,26129.723117782582,26140.340882205735,26119.39432922691,311804.05346795695,311784.05121402704,311787.37875869893
1.4967675708094881e-06,26129.722400159095,26140.34016429029,26119.393611887503,311803.73978506378,311783.73755131342,311787.0650926269
1.5192930942416635e-06,26129.721660773481,26140.339424603873,26119.392872794611,311803.41659061343,311783.41437765502,311786.74191550765
1.5421576143328988e-06,26129.720898965839,26140.338662486283,26119.392111288518,311803.0835962256,311783.08140468947,311786.40893897659
1.5653662327952644e-06,26129.720114056166,26140.337877257276,26119.391326689576,311802.74050477904,311782.73833531479,311786.06586592796
1.5889241281187822e-06,26129.719305343937,26140.337068216035,26119.390518297492,311802.38701014523,311782.38486342196,311785.71239025006
1.6128365567268738e-06,26129.718472107321,26140.336234640417,26119.389685390732,311802.02279691724,311782.02067362424,311785.34819655283
1.6371088541492236e-06,26129.717613602625,26140.335375786417,26119.38882722587,311801.64754012704,311781.64544097532,311784.97295988561
1.6617464362122934e-06,26129.71672906357,26140.334490887482,26119.387943036978,311801.26090495754,311781.25883067865,311784.58634544886
1.686754800247726e-06,26129.715817700653,26140.333579153787,26119.387032034865,311800.86254644243,311780.86049779039,311784.18800829537
1.7121395263189633e-06,26129.714878700477,26140.33263977159,26119.386093406403,311800.45210915984,311780.45008691255,311783.77759302233
1.7379062784663215e-06,26129.713911224921,26140.331671902411,26119.385126313839,311800.02922691603,311780.02723187325,311783.35473345523
1.7640608059707798e-06,26129.712914410462,26140.330674682416,26119.384129893966,311799.59352241701,311779.59155540401,311782.91905232042
1.7906089446368132e-06,26129.711887367419,26140.329647221526,26119.383103257504,311799.14460693492,311779.14266880148,311782.47016091133
1.8175566180945337e-06,26129.710829179079,26140.328588602668,26119.38204548807,311798.68207995989,311778.68017158203,311782.00765873899
1.8449098391213973e-06,26129.709738900983,26140.327497880979,26119.380955641569,311798.20552884368,311778.20365112275,311781.53113317746
1.8726747109838335e-06,26129.708615560001,26140.326374082979,26119.37983274529,311797.71452843223,311777.71268229827,311781.04015909566
1.9008574287990619e-06,26129.707458153505,26140.325216205594,26119.378675796965,311797.20864068624,311777.2068270974,311780.53429847758
1.9294642809173777e-06,26129.706265648449,26140.324023215369,26119.377483764009,311796.68741429271,311776.68563423504,311780.01310003415
1.9585016503252672e-06,26129.705036980489,26140.322794047534,26119.376255582421,311796.15038426005,311776.14863875054,311779.47609879938
1.9879760160696406e-06,26129.703771052969,26140.321527604978,26119.374990156037,311795.59707150585,311775.59536159225,311778.92281571665
2.0178939547034669e-06,26129.702466736017,26140.32022275736,26119.373686355408,311795.02698243118,311775.02530919207,311778.35275721236
2.0482621417531971e-06,26129.701122865466,26140.318878340033,26119.372343016847,311794.43960847741,311774.43797302537,311777.76541475632
2.0790873532082709e-06,26129.699738241823,26140.317493153088,26119.370958941352,311793.83442567696,311773.83282915771,311777.16026440827
2.1103764670330072e-06,26129.698311629316,26140.316065960156,26119.369532893586,311793.21089418454,311773.20933777862,311776.53676635266
2.1421364647012814e-06,26129.696841754598,26140.314595487413,26119.368063600734,311792.56845779816,311772.56694272044,311775.89436441602
2.1743744327542971e-06,26129.695327305752,26140.313080422427,26119.366549751412,311791.90654346021,311771.90507096506,311775.23248557287
2.2070975643817688e-06,26129.693766931068,26140.31151941292,26119.364989994465,311791.22456075309,311771.22313213162,311774.5505394364
2.240313161026935e-06,26129.692159237882,26140.309911065633,26119.363382937678,311790.52190136758,311770.52051794936,311773.84791773115
2.2740286340157244e-06,26129.690502791251,26140.308253945084,26119.361727146766,311789.79793856648,311769.79660172202,311773.12399375194
2.3082515062104073e-06,26129.688796112721,26140.306546572207,26119.360021143886,311789.05202662258,311769.0507377641,311772.37812180654
2.3429894136881667e-06,26129.687037679076,26140.304787423134,26119.358263406328,311788.2835002463,311768.28226082824,311771.60963664181
2.3782501074449326e-06,26129.685225920781,26140.302974927741,26119.356452365228,311787.4916739926,311767.49048551463,311770.81785284949
2.4140414551248211e-06,26129.68335922082,26140.301107468316,26119.354586404253,311786.67584165279,311766.67470565857,311770.00206425821
2.4503714427756368e-06,26129.681435913102,26140.299183378094,26119.352663857899,311785.83527562267,311765.83419370407,311769.16154330329
2.4872481766307972e-06,26129.679454281002,26140.297200939778,26119.350683010282,311784.96922625933,311764.96820005483,311768.29554038116
2.5246798849180313e-06,26129.677412555873,26140.295158383953,26119.348642093377,311784.07692121074,311764.07595241035,311767.40328318148
2.5626749196953457e-06,26129.675308915368,26140.293053887617,26119.346539285645,311783.15756473027,311763.15665507363,311766.4839760008
2.6012417587145928e-06,26129.673141481981,26140.290885572402,26119.344372710282,311782.21033696923,311762.20948824938,311765.53679903434
2.6403890073131106e-06,26129.670908321204,26140.288651503059,26119.342140433528,311781.23439324659,311761.23360731138,311764.56090764632
2.6801254003337875e-06,26129.668607439828,26140.286349685601,26119.339840463024,311780.22886329971,311760.22814205207,311763.55543162028
2.7204598040740624e-06,26129.666236784335,26140.283978065589,26119.337470745973,311779.19285050815,311759.19219590904,311762.51947438368
2.7614012182642564e-06,26129.663794238819,26140.28153452633,26119.335029167374,311778.12543109694,311758.12484516739,311761.45211221254
2.8029587780756361e-06,26129.661277623203,26140.279016886856,26119.332513547997,311777.0256533185,311757.02513813961,311760.35239340883
2.8451417561587398e-06,26129.658684691436,26140.276422900148,26119.329921642689,311775.89253660163,311755.89209431835,311759.21933745494
2.887959564712378e-06,26129.656013129214,26140.273750251014,26119.327251138056,311774.72507068503,311754.72470350727,311758.05193414248
2.9314217575837277e-06,26129.653260552146,26140.270996554049,26119.324499650618,311773.52221471537,311753.5219249191,311756.84914267529
2.9755380324000787e-06,26129.650424503438,26140.268159351537,26119.321664724655,311772.28289632458,311752.28268625622,311755.60989074211
3.0203182327326583e-06,26129.647502451953,26140.265236111194,26119.318743829921,311771.00601067801,311751.00588275399,311754.3330735676
3.0657723502929762e-06,26129.644491789673,26140.26222422404,26119.315734359432,311769.69041949057,311749.69037620106,311753.01755292749
3.1119105271622703e-06,26129.641389829521,26140.259121001858,26119.312633627236,311768.33495001751,311748.33499392786,311751.66215614125
3.1587430580545028e-06,26129.638193802966,26140.255923675017,26119.309438865901,311766.93839401403,311746.93852776766,311750.26567502675
3.2062803926133663e-06,26129.634900857527,26140.252629389859,26119.306147224022,311765.49950665911,311745.49973297887,311748.82686483138
3.2545331377439064e-06,26129.631508054183,26140.24923520616,26119.302755763787,311764.0170054537,311744.01732714556,311747.3444431239
3.3035120599792366e-06,26129.628012364883,26140.245738094625,26119.299261458276,311762.48956908111,311742.48998903623,311745.81708865915
3.3532280878828153e-06,26129.624410669625,26140.242134934015,26119.295661188822,311760.91583623423,311740.91635743028,311744.24344020273
3.4036923144869325e-06,26129.620699753905,26140.238422508526,26119.29195174214,311759.29440440889,311739.29502991424,311742.62209532503
3.454915999767892e-06,26129.616876305721,26140.234597504783,26119.288129807515,311757.62382865755,311737.62456163461,311740.95160915714
3.5069105731583883e-06,26129.612936912621,26140.23065650896,26119.284191973915,311755.90262031008,311735.90346401598,311739.23049310874
3.559687636097754e-06,26129.608878058709,26140.226596003689,26119.280134726745,311754.12924565247,311734.13020344306,311737.45721354708
3.6132589646205787e-06,26129.604696121438,26140.222412365016,26119.275954444987,311752.30212456745,311732.3031999002,311735.63019044022
3.6676365119842356e-06,26129.600387368453,26140.218101859035,26119.271647397687,311750.41962913331,311730.42082557012,311733.74779595336
3.7228324113360049e-06,26129.595947954222,26140.213660638645,26119.267209740858,311748.48008218082,311728.48140339262,311731.80835300789
3.7788589784203376e-06,26129.59137391657,26140.20908474005,26119.262637513952,311746.48175580939,311726.48320557724,311729.81013379595
3.8357287143268007e-06,26129.586661173234,26140.204370079351,26119.257926636223,311744.42286985496,311724.4244520748,311727.75135824713
3.8934543082794395e-06,26129.581805518115,26140.199512448722,26119.253072903302,311742.30159031157,311722.30330899719,311725.63019245607
3.9520486404681185e-06,26129.576802617637,26140.194507512835,26119.248071983304,311740.11602771142,311720.11788699892,311723.44474705576
4.0115247849224085e-06,26129.571648006771,26140.189350804816,26119.242919412958,311737.86423545022,311717.86623959953,311721.1930755449
4.0718960124287887e-06,26129.566337085074,26140.184037722389,26119.237610593693,311735.54420806363,311715.54636146501,311718.87317256792
4.1331757934917503e-06,26129.560865112726,26140.178563523783,26119.23214078751,311733.15387945465,311713.15618663002,311716.48297213891
4.1953778013393993e-06,26129.555227206074,26140.172923323349,26119.226505112718,311730.69112106506,311710.69358667417,311714.02034581301
4.2585159149743563e-06,26129.549418333412,26140.167112087376,26119.220698539597,311728.15373999416,311708.15636883775,311711.48310080718
4.3226042222705705e-06,26129.543433310522,26140.161124629485,26119.214715885992,311725.53947705904,311705.54227408319,311708.86897806032
4.3876570231166746e-06,26129.537266795916,26140.154955606056,26119.208551812502,311722.84600479924,311702.84897509927,311706.17565023591
4.4536888326067157e-06,26129.530913286202,26140.148599511413,26119.202200817916,311720.07092541968,311700.07407424628,311703.40071966837
4.5207143842788647e-06,26129.524367111098,26140.14205067301,26119.195657234231,311717.21176867362,311697.21510143508,311700.54171624267
4.588748633402911e-06,26129.517622428379,26140.135303246243,26119.188915221515,311714.26598968013,311694.26951194881,311697.59609521477
4.6578067603171423e-06,26129.510673218698,26140.128351209307,26119.181968762801,311711.23096668045,311691.2346841977,311694.56123496563
4.7279041738155698e-06,26129.503513280244,26140.121188357814,26119.174811658708,311708.10399872158,311688.10791740264,311691.43443468842
4.7990565145859977e-06,26129.496136223053,26140.113808299291,26119.167437521843,311704.88230327715,311684.8864292159,311688.21291200537
4.8712796586999346e-06,26129.488535463497,26140.106204447391,26119.159839771186,311701.56301379163,311681.56735326682,311684.89380051452
4.9445897211549676e-06,26129.480704218331,26140.09837001612,26119.15201162616,311698.14317715587,311678.14773663558,311681.47414726467
5.0190030594705038e-06,26129.472635498634,26140.09029801366,26119.143946100601,311694.61975110346,311674.62453725177,311677.95091015345
5.0945362773375285e-06,26129.464322103537,26140.08198123629,26119.135635996514,311690.989601532,311670.99462121452,311674.32095524645
